,Report_Date,China_guangdong_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,26,13.178183311527457,698.9172454911105,True,1,62.05001297896315,1397.8344819532033
1,2020-01-23,32,13.178183311527457,698.9172454911105,True,2,78.8330513800377,1397.8344819532033
2,2020-01-24,53,13.178183311527457,698.9172454911105,True,3,99.8162919937747,1397.8344819532033
3,2020-01-25,78,13.178183311527457,698.9172454911105,True,4,125.8518011761844,1397.8344819532033
4,2020-01-26,111,13.178183311527457,698.9172454911105,True,5,157.8524132856011,1397.8344819532033
5,2020-01-27,151,13.178183311527457,698.9172454911105,True,6,196.73140129712908,1397.8344819532033
6,2020-01-28,207,13.178183311527457,698.9172454911105,True,7,243.30730511363132,1397.8344819532033
7,2020-01-29,277,13.178183311527457,698.9172454911105,True,8,298.172605718323,1397.8344819532033
8,2020-01-30,354,13.178183311527457,698.9172454911105,True,9,361.5356720417997,1397.8344819532033
9,2020-01-31,436,13.178183311527457,698.9172454911105,True,10,433.06101546782776,1397.8344819532033
10,2020-02-01,535,13.178183311527457,698.9172454911105,True,11,511.7489560077548,1397.8344819532033
11,2020-02-02,632,13.178183311527457,698.9172454911105,True,12,595.9034708337751,1397.8344819532033
12,2020-02-03,725,13.178183311527457,698.9172454911105,True,13,683.2262191841108,1397.8344819532033
13,2020-02-04,813,13.178183311527457,698.9172454911105,True,14,771.0418552911988,1397.8344819532033
14,2020-02-05,895,13.178183311527457,698.9172454911105,True,15,856.6145461446584,1397.8344819532033
15,2020-02-06,970,13.178183311527457,698.9172454911105,True,16,937.4797217003057,1397.8344819532033
16,2020-02-07,1034,13.178183311527457,698.9172454911105,True,17,1011.7087935499345,1397.8344819532033
17,2020-02-08,1095,13.178183311527457,698.9172454911105,True,18,1078.051644540996,1397.8344819532033
18,2020-02-09,1131,13.178183311527457,698.9172454911105,True,19,1135.9463491814374,1397.8344819532033
19,2020-02-10,1159,13.178183311527457,698.9172454911105,True,20,1185.4247534249303,1397.8344819532033
20,2020-02-11,1177,13.178183311527457,698.9172454911105,True,21,1226.9613752363684,1397.8344819532033
21,2020-02-12,1219,13.178183311527457,698.9172454911105,True,22,1261.310982376928,1397.8344819532033
22,2020-02-13,1241,13.178183311527457,698.9172454911105,True,23,1289.3659318251987,1397.8344819532033
23,2020-02-14,1261,13.178183311527457,698.9172454911105,True,24,1312.0478300379318,1397.8344819532033
24,2020-02-15,1294,13.178183311527457,698.9172454911105,True,25,1330.2353765164908,1397.8344819532033
25,2020-02-16,1316,13.178183311527457,698.9172454911105,True,26,1344.7230859196452,1397.8344819532033
26,2020-02-17,1322,13.178183311527457,698.9172454911105,True,27,1356.202992335863,1397.8344819532033
27,2020-02-18,1328,13.178183311527457,698.9172454911105,True,28,1365.2616488884307,1397.8344819532033
28,2020-02-19,1331,13.178183311527457,698.9172454911105,True,29,1372.386205746258,1397.8344819532033
29,2020-02-20,1332,13.178183311527457,698.9172454911105,True,30,1377.9750981904467,1397.8344819532033
30,2020-02-21,1333,13.178183311527457,698.9172454911105,True,31,1382.3504197142565,1397.8344819532033
31,2020-02-22,1339,13.178183311527457,698.9172454911105,True,32,1385.7702318415131,1397.8344819532033
32,2020-02-23,1342,13.178183311527457,698.9172454911105,True,33,1388.4398773344285,1397.8344819532033
33,2020-02-24,1345,13.178183311527457,698.9172454911105,True,34,1390.52188638001,1397.8344819532033
34,2020-02-25,1347,13.178183311527457,698.9172454911105,True,35,1392.1443771231218,1397.8344819532033
35,2020-02-26,1347,13.178183311527457,698.9172454911105,True,36,1393.4080222354307,1397.8344819532033
36,2020-02-27,1347,13.178183311527457,698.9172454911105,True,37,1394.3917344422862,1397.8344819532033
37,2020-02-28,1348,13.178183311527457,698.9172454911105,True,38,1395.15725230943,1397.8344819532033
38,2020-02-29,1349,13.178183311527457,698.9172454911105,True,39,1395.7528067377475,1397.8344819532033
39,2020-03-01,1349,13.178183311527457,698.9172454911105,True,40,1396.2160331719897,1397.8344819532033
40,2020-03-02,1350,13.178183311527457,698.9172454911105,True,41,1396.5762731444654,1397.8344819532033
41,2020-03-03,1350,13.178183311527457,698.9172454911105,True,42,1396.8563862665974,1397.8344819532033
42,2020-03-04,1350,13.178183311527457,698.9172454911105,True,43,1397.0741726261174,1397.8344819532033
43,2020-03-05,1351,13.178183311527457,698.9172454911105,True,44,1397.2434868437292,1397.8344819532033
44,2020-03-06,1352,13.178183311527457,698.9172454911105,True,45,1397.3751091159133,1397.8344819532033
45,2020-03-07,1352,13.178183311527457,698.9172454911105,True,46,1397.477425340729,1397.8344819532033
46,2020-03-08,1352,13.178183311527457,698.9172454911105,True,47,1397.5569576216137,1397.8344819532033
