,Report_Date,Estonia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,69.64384272114388,762.7756251792506,True,1,0.04571731996244448,1436.8711317853272
1,2020-01-23,0,69.64384272114388,762.7756251792506,True,2,0.05320767911234511,1436.8711317853272
2,2020-01-24,0,69.64384272114388,762.7756251792506,True,3,0.06192521436830982,1436.8711317853272
3,2020-01-25,0,69.64384272114388,762.7756251792506,True,4,0.07207096133849607,1436.8711317853272
4,2020-01-26,0,69.64384272114388,762.7756251792506,True,5,0.08387888296075316,1436.8711317853272
5,2020-01-27,0,69.64384272114388,762.7756251792506,True,6,0.09762126040237308,1436.8711317853272
6,2020-01-28,0,69.64384272114388,762.7756251792506,True,7,0.11361496577712478,1436.8711317853272
7,2020-01-29,0,69.64384272114388,762.7756251792506,True,8,0.13222876064393269,1436.8711317853272
8,2020-01-30,0,69.64384272114388,762.7756251792506,True,9,0.15389178765600145,1436.8711317853272
9,2020-01-31,0,69.64384272114388,762.7756251792506,True,10,0.1791034499033481,1436.8711317853272
10,2020-02-01,0,69.64384272114388,762.7756251792506,True,11,0.20844490403022867,1436.8711317853272
11,2020-02-02,0,69.64384272114388,762.7756251792506,True,12,0.24259242979579262,1436.8711317853272
12,2020-02-03,0,69.64384272114388,762.7756251792506,True,13,0.2823329811664791,1436.8711317853272
13,2020-02-04,0,69.64384272114388,762.7756251792506,True,14,0.3285822731809541,1436.8711317853272
14,2020-02-05,0,69.64384272114388,762.7756251792506,True,15,0.3824058157386958,1436.8711317853272
15,2020-02-06,0,69.64384272114388,762.7756251792506,True,16,0.44504337129850374,1436.8711317853272
16,2020-02-07,0,69.64384272114388,762.7756251792506,True,17,0.5179373895545409,1436.8711317853272
17,2020-02-08,0,69.64384272114388,762.7756251792506,True,18,0.602766059973212,1436.8711317853272
18,2020-02-09,0,69.64384272114388,762.7756251792506,True,19,0.7014817242893436,1436.8711317853272
19,2020-02-10,0,69.64384272114388,762.7756251792506,True,20,0.8163555075223842,1436.8711317853272
20,2020-02-11,0,69.64384272114388,762.7756251792506,True,21,0.9500291598112387,1436.8711317853272
21,2020-02-12,0,69.64384272114388,762.7756251792506,True,22,1.105575254576917,1436.8711317853272
22,2020-02-13,0,69.64384272114388,762.7756251792506,True,23,1.2865670635414783,1436.8711317853272
23,2020-02-14,0,69.64384272114388,762.7756251792506,True,24,1.4971596283820416,1436.8711317853272
24,2020-02-15,0,69.64384272114388,762.7756251792506,True,25,1.7421837747003739,1436.8711317853272
25,2020-02-16,0,69.64384272114388,762.7756251792506,True,26,2.0272550688245317,1436.8711317853272
26,2020-02-17,0,69.64384272114388,762.7756251792506,True,27,2.358900003670997,1436.8711317853272
27,2020-02-18,0,69.64384272114388,762.7756251792506,True,28,2.7447020177883275,1436.8711317853272
28,2020-02-19,0,69.64384272114388,762.7756251792506,True,29,3.193470302022263,1436.8711317853272
29,2020-02-20,0,69.64384272114388,762.7756251792506,True,30,3.7154347295827344,1436.8711317853272
30,2020-02-21,0,69.64384272114388,762.7756251792506,True,31,4.3224706537814,1436.8711317853272
31,2020-02-22,0,69.64384272114388,762.7756251792506,True,32,5.028357745883805,1436.8711317853272
32,2020-02-23,0,69.64384272114388,762.7756251792506,True,33,5.849077480826511,1436.8711317853272
33,2020-02-24,0,69.64384272114388,762.7756251792506,True,34,6.803154301321055,1436.8711317853272
34,2020-02-25,0,69.64384272114388,762.7756251792506,True,35,7.912045871672779,1436.8711317853272
35,2020-02-26,0,69.64384272114388,762.7756251792506,True,36,9.200588128835104,1436.8711317853272
36,2020-02-27,1,69.64384272114388,762.7756251792506,True,37,10.69750098950495,1436.8711317853272
37,2020-02-28,1,69.64384272114388,762.7756251792506,True,38,12.435960494931782,1436.8711317853272
38,2020-02-29,1,69.64384272114388,762.7756251792506,True,39,14.454242755974914,1436.8711317853272
39,2020-03-01,1,69.64384272114388,762.7756251792506,True,40,16.79644414793525,1436.8711317853272
40,2020-03-02,1,69.64384272114388,762.7756251792506,True,41,19.513280598241106,1436.8711317853272
41,2020-03-03,2,69.64384272114388,762.7756251792506,True,42,22.662966252710955,1436.8711317853272
42,2020-03-04,2,69.64384272114388,762.7756251792506,True,43,26.312167972475493,1436.8711317853272
43,2020-03-05,3,69.64384272114388,762.7756251792506,True,44,30.537026602509975,1436.8711317853272
