,ds,yhat,yhat_lower,yhat_upper,y,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,15.116814174511342,11.033569585097418,18.96204605777252,2.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
1,2020-01-23,19.356620670346107,15.378709942649488,23.320024638721367,5.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
2,2020-01-24,23.946372478989826,20.119692209594362,27.846195337576408,23.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
3,2020-01-25,29.222624545806767,25.628680399455124,32.99786257251643,23.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
4,2020-01-26,35.80534659577244,32.22020584187995,39.51456615765358,36.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
5,2020-01-27,44.03896386757575,40.289749692976315,47.971372251227535,46.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
6,2020-01-28,52.00687584902389,48.01729116046131,55.84066865960476,51.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
7,2020-01-29,59.92717157962474,55.90574479769164,63.51930185158479,58.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
8,2020-01-30,71.2489291672839,67.48714409947024,75.4005928270556,78.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
9,2020-01-31,83.24564248757115,79.42879154642654,86.94935141496501,87.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
10,2020-02-01,95.98615564820804,92.10685943888846,100.06454400960803,100.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
11,2020-02-02,109.75323294125273,105.64353327511701,113.5335341115026,111.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
12,2020-02-03,124.50643566066206,121.06208718252094,128.22191205873247,127.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
13,2020-02-04,137.9316155266232,134.25008571266233,141.5066106418389,139.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
14,2020-02-05,149.8806583929841,146.14643102744532,153.5917973693056,150.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
15,2020-02-06,163.5136678379202,159.42286563215643,167.437388630001,168.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
16,2020-02-07,175.93145157873806,171.951350065428,179.79219030576732,172.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
17,2020-02-08,187.17089177290916,183.27162815987634,190.90006753462072,183.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
18,2020-02-09,197.62803608135064,193.68447258248816,201.37166228448808,195.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
19,2020-02-10,207.50484430347507,203.69677223492107,211.08801592338696,210.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
20,2020-02-11,214.82516494492324,210.73731169750604,218.51544209101874,215.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
21,2020-02-12,219.83048753536548,216.07478369902046,223.49349534569188,222.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
22,2020-02-13,226.0762711396516,222.3506135194349,230.04451995841387,222.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
23,2020-02-14,231.02483180851698,227.09954617892126,234.76411792938066,226.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
24,2020-02-15,235.0127852547087,231.1628097579735,238.8847020701952,235.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
25,2020-02-16,238.66029429264702,234.90444541459493,242.35901625686103,237.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
26,2020-02-17,242.31647720510216,238.40677549275117,246.14293611476128,238.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
27,2020-02-18,244.08337435390206,240.37062099229868,248.08293673670082,242.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
28,2020-02-19,244.22492679935118,240.02814535899827,248.17622195651205,244.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
29,2020-02-20,246.27816575185713,242.5102577354537,250.1654534741299,245.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
30,2020-02-21,247.66004665721877,243.89248883851778,251.37835978377035,246.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
31,2020-02-22,248.64651920792548,244.70064601438258,252.7348335889744,249.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
32,2020-02-23,249.79060381850962,245.5869800835901,253.68984297769845,249.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
33,2020-02-24,251.37395432714837,247.46112272239085,255.23473093765912,251.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
34,2020-02-25,251.43473509733997,247.6514523450879,255.39347277678957,252.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
35,2020-02-26,250.17879298807344,246.3020998648509,253.95355466379007,252.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
36,2020-02-27,251.09182160905632,247.4175893805666,254.79680309462054,252.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
37,2020-02-28,251.54636542568085,247.73391099975203,255.31527025395002,252.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
38,2020-02-29,251.78056974136513,247.81537919859568,255.43707518122713,252.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
39,2020-03-01,252.3156709419237,248.524102591615,256.07973262435115,252.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
40,2020-03-02,253.40685678281704,249.60048784425283,257.30447489455827,252.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
41,2020-03-03,253.07041949010286,249.3186431299294,256.9550137740952,252.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
42,2020-03-04,251.49423752277048,247.93032392135942,255.24547435047742,252.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
43,2020-03-05,252.14931239456132,248.22169943919306,255.88577618691056,252.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
44,2020-03-06,252.39622017413166,248.1347110005979,256.13996472949964,252.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
45,2020-03-07,252.463385462743,248.66247698347883,256.3035829959184,252.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
46,2020-03-08,252.86416819473519,249.01506198914825,256.96577065135455,252.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
47,2020-03-09,253.847386081793,249.93447493988825,257.4949463276271,252.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
48,2020-03-10,253.42418738497702,249.43754571932507,257.41403276395107,252.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
49,2020-03-11,251.7783017040217,247.90480843894363,255.79296804975024,252.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
50,2020-03-12,252.37738753046176,248.74621892814002,256.38995367333,252.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
51,2020-03-13,252.57932931543982,248.56759031864163,256.24890752277366,252.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
52,2020-03-14,252.61038586278198,249.02764734593126,256.5225458264962,252.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
53,2020-03-15,252.98217527490536,248.82047110696317,257.0073119765111,252.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
54,2020-03-16,253.94211496243187,250.21571525441715,257.70278012939707,252.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
55,2020-03-17,253.5002278103694,249.5880351017692,257.07688403755884,253.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
56,2020-03-18,251.83933922262577,248.1970352123584,255.56518886555645,253.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
57,2020-03-19,252.42638135409499,248.51655043477922,256.33125808168705,253.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
58,2020-03-20,252.6186552891305,248.69173903560244,256.1351698890568,254.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
59,2020-03-21,252.6419513549493,248.52567355812263,256.758662274571,254.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
60,2020-03-22,253.00751148066416,249.06547935254707,256.94936066146454,254.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
61,2020-03-23,253.9624510462675,250.02672380775482,257.64490168555835,254.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
62,2020-03-24,253.51655045210487,249.9284387843752,257.46094095474626,254.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
63,2020-03-25,251.85244043447466,247.7524949127579,255.60057231225323,254.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
64,2020-03-26,252.43689687524503,248.77701300714045,256.31899057395657,254.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
65,2020-03-27,252.62709541216796,248.8548643057936,256.1636354506173,254.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
66,2020-03-28,252.64872567430146,248.93745814199667,256.52732991598526,254.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
67,2020-03-29,253.01294876045512,249.235153689612,257.1468173947539,254.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
68,2020-03-30,253.96681516939935,250.2855390987775,257.7863697535579,254.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
69,2020-03-31,253.52005322312468,249.90109930324522,257.35978676059375,254.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
70,2020-04-01,251.85525185652986,247.99032463830574,255.84302651258804,254.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
71,2020-04-02,252.43915339939332,248.95562117434062,256.1439026675302,254.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
72,2020-04-03,252.62890655888134,248.9513893560127,256.4469394184926,254.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
73,2020-04-04,252.65017934837812,248.809732633228,256.31524961780184,254.0,2020-04-10,13.219167009534711,True,80,252.8684599560889
