,ds,yhat,yhat_lower,yhat_upper,y,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,2.8511590328012737,-44.36678820500305,51.23955239090197,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
1,2020-01-23,3.9930022921401847,-41.70565375993394,49.30180067022072,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
2,2020-01-24,4.11685909307865,-42.06372253948122,49.666426599817825,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
3,2020-01-25,5.576948506281626,-41.89575317362599,49.07896514368947,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
4,2020-01-26,4.706801884632012,-40.66002996076064,53.2557379394371,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
5,2020-01-27,1.4691963054248602,-44.36735610324847,47.56104085875544,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
6,2020-01-28,3.4811951475590153,-37.98583038844588,53.20036998118353,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
7,2020-01-29,3.6275308094617844,-44.590578967432144,46.115786991800675,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
8,2020-01-30,4.792222050655366,-41.81999016672793,54.900374091063014,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
9,2020-01-31,4.93958948448726,-42.65958690937259,50.446954230179884,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
10,2020-02-01,6.423870814523297,-40.15903854418282,51.082618467828325,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
11,2020-02-02,5.578616515144667,-37.4861461036608,53.96510788749064,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
12,2020-02-03,2.36662328471165,-44.342066278524584,51.308192207714704,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
13,2020-02-04,4.404974632661551,-41.81774935515322,48.61727182065154,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
14,2020-02-05,4.578423609081369,-39.19228601791143,52.959554550112784,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
15,2020-02-06,5.771010156906237,-43.946467290749155,49.999457161430406,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
16,2020-02-07,5.94707661562888,-39.25937659365612,49.683312070849844,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
17,2020-02-08,7.460882968692581,-39.00841131053896,52.65010034857794,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
18,2020-02-09,6.646002535181758,-37.38992664610376,54.89070288750601,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
19,2020-02-10,3.46525543375197,-43.90365525875159,52.86760225791952,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
20,2020-02-11,5.535749181620224,-44.20425859231666,49.27015158826645,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
21,2020-02-12,5.7422614344694205,-40.545019537477565,51.678600981509916,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
22,2020-02-13,6.968857349890482,-37.66611310118349,55.22495475347852,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
23,2020-02-14,7.179905102098674,-41.314932163649544,50.44904286842872,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
24,2020-02-15,8.72969114027904,-40.66577644317159,55.60946146341883,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
25,2020-02-16,7.951815891065492,-37.115911168981135,54.481198776436564,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
26,2020-02-17,4.809127233235641,-42.51187224398434,50.02751345364145,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
27,2020-02-18,6.9187611071994795,-36.712382123604094,52.92929648696567,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
28,2020-02-19,7.165524265321983,-38.079657270378334,54.13778882148028,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
29,2020-02-20,8.433511645543172,-39.28569983208575,50.827925269102984,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
30,2020-02-21,8.687121896078732,-36.840079468139045,55.71226388939626,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
31,2020-02-22,10.280672643370114,-33.74367841931942,50.65766542148726,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
32,2020-02-23,9.547796203994023,-35.99902713195014,51.19015288457518,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
33,2020-02-24,6.451373069129519,-38.31829628102703,55.968368295039625,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
34,2020-02-25,8.608572520318216,-40.7609050138495,55.2977124488623,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
35,2020-02-26,8.90423539030152,-35.72545147608277,54.93454639003001,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
36,2020-02-27,10.222491443606042,-34.93708228867234,52.91092663500242,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
37,2020-02-28,10.527774908379117,-35.102767489266675,53.84379258260477,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
38,2020-02-29,12.17443975097423,-33.477045677592145,55.937164961994796,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
39,2020-03-01,11.496155393775503,-34.295154527489046,53.815594627894974,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
40,2020-03-02,8.455840204098823,-38.362943928558906,52.30827098657162,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
41,2020-03-03,10.670702116881772,-37.07367970992452,55.72521164651219,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
42,2020-03-04,11.025621396749983,-34.14276616642817,56.72204868489795,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
43,2020-03-05,12.404768022184733,-33.813574055460485,61.092172790956425,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
44,2020-03-06,12.77261722006283,-34.096525544082326,62.23772584249014,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
45,2020-03-07,14.483564738208166,-30.291741079980433,60.527300964122944,0.0,2020-12-20,174.95563746808145,True,334,568.7587421642153
