,ds,yhat,yhat_lower,yhat_upper,y,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,55.109795045325725,-425.45165567768584,520.8624681540789,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
1,2020-01-23,78.37265752387583,-365.0836928759589,567.260066499444,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
2,2020-01-24,65.07975247933805,-403.44982318298327,512.8128143144206,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
3,2020-01-25,64.63677156191832,-376.5413010798571,526.2741582303446,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
4,2020-01-26,63.659177677632954,-401.4390585020253,545.0790075271017,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
5,2020-01-27,64.29329399394659,-384.7153072973795,523.3326429450918,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
6,2020-01-28,72.54160540922875,-415.55748174501576,521.3727731173124,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
7,2020-01-29,70.76096948222224,-365.9291105658655,541.4738611047467,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
8,2020-01-30,94.54865346027148,-367.46936068972985,541.8125443296707,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
9,2020-01-31,81.79793124720958,-373.14988674315947,534.3013851145299,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
10,2020-02-01,81.91505254691664,-399.6094365118802,575.8663286614469,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
11,2020-02-02,81.51605514123311,-370.14197446453113,535.3684089825477,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
12,2020-02-03,82.74785432018861,-373.6181960404559,577.8660066124752,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
13,2020-02-04,91.61354478723324,-360.07437300994945,571.6881007190675,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
14,2020-02-05,90.47061202772974,-386.1258857899422,543.6988298813516,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
15,2020-02-06,114.91696978078257,-353.22062529735143,589.756637057557,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
16,2020-02-07,102.84655745474403,-372.1109357125855,544.6192125653379,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
17,2020-02-08,103.66630972269941,-376.4304575805344,560.4539173437286,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
18,2020-02-09,103.9929692460726,-390.7828633382176,577.5994779578969,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
19,2020-02-10,105.97417657605561,-338.90357173105815,572.4023431964748,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
20,2020-02-11,115.6137725029802,-337.2408834276675,572.8633809195361,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
21,2020-02-12,115.27000988591874,-336.1854060495495,573.9910369457266,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
22,2020-02-13,140.54159158115112,-320.75452421227163,596.8124552606056,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
23,2020-02-14,129.3232683132959,-336.72482920021645,559.1812248667404,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
24,2020-02-15,131.02280872365858,-329.2740358877832,584.8029012251152,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
25,2020-02-16,132.2578125469496,-316.436624722966,618.178231371526,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
26,2020-02-17,135.17680094530525,-375.973404197819,621.2988110166231,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
27,2020-02-18,145.78451930367902,-302.8724651481044,583.5184681352571,0.0,2020-10-15,166.0313313125055,True,268,10929.775551665683
