,ds,yhat,yhat_lower,yhat_upper,y,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,902.5104817819656,-14558.65771545997,16347.65558364959,0.0,2020-12-20,292.6302244216406,True,334,670202.9331774671
1,2020-01-23,1340.5037252373822,-14529.439208895474,16894.740104510598,0.0,2020-12-20,292.6302244216406,True,334,670202.9331774671
2,2020-01-24,1709.161504292238,-13651.149458211079,16894.01767270933,0.0,2020-12-20,292.6302244216406,True,334,670202.9331774671
3,2020-01-25,2117.8431761558822,-13962.876095290894,18538.390412390465,0.0,2020-12-20,292.6302244216406,True,334,670202.9331774671
4,2020-01-26,2380.1216561435053,-12677.400021388363,17772.76483108979,0.0,2020-12-20,292.6302244216406,True,334,670202.9331774671
5,2020-01-27,757.9258296979218,-14508.320402621379,16327.7537848119,0.0,2020-12-20,292.6302244216406,True,334,670202.9331774671
6,2020-01-28,855.4229565100443,-14966.197869106789,16015.73327663645,0.0,2020-12-20,292.6302244216406,True,334,670202.9331774671
7,2020-01-29,1140.2555882794545,-14463.073875885617,17018.037402923772,0.0,2020-12-20,292.6302244216406,True,334,670202.9331774671
8,2020-01-30,1583.852767065308,-13718.65835045242,17275.37027715351,0.0,2020-12-20,292.6302244216406,True,334,670202.9331774671
9,2020-01-31,1958.2459668325976,-12781.785786109453,18171.449109648536,0.0,2020-12-20,292.6302244216406,True,334,670202.9331774671
10,2020-02-01,2372.7976008744445,-13419.95926870253,17899.716188435043,0.0,2020-12-20,292.6302244216406,True,334,670202.9331774671
11,2020-02-02,2641.083710227844,-12856.544617359326,17925.60998565333,0.0,2020-12-20,292.6302244216406,True,334,670202.9331774671
12,2020-02-03,1025.036377166478,-13747.564335056237,16856.302051757113,0.0,2020-12-20,292.6302244216406,True,334,670202.9331774671
13,2020-02-04,1128.8261310462547,-14508.721479598797,16613.316564233286,0.0,2020-12-20,292.6302244216406,True,334,670202.9331774671
14,2020-02-05,1420.0988674856353,-14180.101099563273,16830.5943373575,0.0,2020-12-20,292.6302244216406,True,334,670202.9331774671
