,ds,yhat,yhat_lower,yhat_upper,y,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,2.0252832420470064,-1391.723310547072,1532.7409554883245,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
1,2020-01-23,-27.280628529832747,-1465.0827677504783,1377.2121703674488,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
2,2020-01-24,77.93702325758042,-1387.5539119095863,1553.5077891413669,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
3,2020-01-25,132.12088526697588,-1415.5211928265728,1520.1165776829125,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
4,2020-01-26,14.664051262243444,-1434.8206958484054,1415.9359619787547,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
5,2020-01-27,-11.526851674475793,-1512.292210726275,1415.2511596717798,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
6,2020-01-28,15.187312454537786,-1354.0494097928758,1346.9630243187773,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
7,2020-01-29,28.623064903487492,-1327.915680487896,1389.4635354530355,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
8,2020-01-30,2.798293594279535,-1433.9803112107409,1461.7395930944765,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
9,2020-01-31,111.95224986625111,-1320.7473660298447,1568.0382074411832,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
10,2020-02-01,170.58696803065254,-1344.6893285664594,1570.7267613650165,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
11,2020-02-02,58.16264305363486,-1370.05884342051,1563.7989122436004,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
12,2020-02-03,37.66170887615646,-1361.6921561170004,1423.7154920130238,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
13,2020-02-04,70.80893095754308,-1406.8288174437391,1507.4747062977724,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
14,2020-02-05,91.51753938199846,-1362.3960957539753,1581.0183379917694,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
15,2020-02-06,73.91462336402004,-1463.834610564318,1485.6054430382421,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
16,2020-02-07,192.36271558713815,-1251.0089872283004,1595.2784376514069,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
17,2020-02-08,261.50299379985495,-1175.2690850989502,1656.3850002253214,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
18,2020-02-09,160.9526567325329,-1287.5296086641279,1622.669872267281,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
19,2020-02-10,153.87124040906406,-1251.588452560004,1565.8061301226091,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
20,2020-02-11,202.18321383847632,-1253.516780191659,1757.2942932113122,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
21,2020-02-12,240.02690748524913,-1194.3885706151978,1665.4641440602913,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
22,2020-02-13,241.7830238431233,-1385.833809986084,1669.4540467505428,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
23,2020-02-14,382.09968829022785,-935.9685605967446,1813.8111516811352,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
24,2020-02-15,475.9394977897342,-1049.3929650304867,1835.6785494780286,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
25,2020-02-16,403.28115450303943,-1076.5206971378723,1825.355695233073,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
26,2020-02-17,427.6904791603213,-991.3008483445053,1849.6591001744655,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
27,2020-02-18,511.5481689278394,-965.0577852638289,1979.5160597747501,0.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
28,2020-02-19,589.5043741687363,-884.7670738968753,1997.8903005646032,2.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
29,2020-02-20,636.5133568838665,-856.381559272185,2168.6226502218105,5.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
30,2020-02-21,827.8651912768796,-697.9667060859599,2196.8715436575512,18.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
31,2020-02-22,979.2399508962864,-558.5313151849514,2474.182308175099,28.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
32,2020-02-23,971.4169348626712,-582.4236479494517,2404.271981802349,43.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
33,2020-02-24,1068.8536649747023,-219.18403642818797,2441.9750686648017,61.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
34,2020-02-25,1234.9219180001237,-207.6912728961998,2687.0611644261326,95.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
35,2020-02-26,1405.3707183152696,-74.30142782205908,2899.5317291582937,139.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
36,2020-02-27,1556.369343294026,134.36320979640587,3012.4154011549526,245.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
37,2020-02-28,1864.547012929854,453.68401811570516,3187.4565853276913,388.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
38,2020-02-29,2147.054323647709,725.6630957693909,3534.026101032943,593.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
39,2020-03-01,2286.2784765325255,828.282946122766,3659.6165879003165,978.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
40,2020-03-02,2548.4263879339114,1084.0258875723935,3983.3472522043267,1501.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
41,2020-03-03,2898.762137827484,1394.9173183088699,4404.995796743291,2336.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
42,2020-03-04,3275.0676789399763,1762.7153387288442,4630.736578616672,2922.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
43,2020-03-05,3655.678642201468,2256.91303417109,5056.641525320235,3513.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
44,2020-03-06,4219.51045990128,2779.2124881266436,5646.0251219190895,4747.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
45,2020-03-07,4786.098174648298,3308.864291358683,6217.531204851321,5823.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
46,2020-03-08,5240.280059640793,3768.715737399288,6715.662635631437,6566.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
47,2020-03-09,5850.737017058053,4310.522690525266,7306.600983482462,7161.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
48,2020-03-10,6585.171958666908,5170.37486796047,7995.769351074942,8042.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
49,2020-03-11,7383.695836322939,5873.895478918426,8993.371348232386,9000.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
50,2020-03-12,8226.770073390782,6840.194291608181,9553.460374787517,10075.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
51,2020-03-13,9295.118969007006,7778.49520093454,10696.391936092095,11364.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
52,2020-03-14,10409.63456151056,8992.573177471586,11732.815198572882,12729.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
53,2020-03-15,11455.904397352075,10005.217789001055,12964.55901715046,13938.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
54,2020-03-16,12702.576188291207,11278.13910858125,14150.805015168595,14991.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
55,2020-03-17,14116.347818651795,12896.281907330856,15680.95794262297,16169.0,2020-04-11,70.9723630233189,True,81,84831.58116950847
