,ds,yhat,yhat_lower,yhat_upper,y,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,1.4233045318143425,-18.293499882785774,21.443196267374013,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
1,2020-01-23,-3.0319363172510787,-22.89156396080788,17.161241200832485,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
2,2020-01-24,0.8840519529024281,-20.940346080103843,19.70861786499622,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
3,2020-01-25,-1.2389703024755951,-21.28678362283142,18.32535583675607,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
4,2020-01-26,-2.0485021842926128,-22.190702579639435,17.460578926570054,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
5,2020-01-27,-0.4090164311689085,-20.717853807647103,21.233787420122383,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
6,2020-01-28,4.797888158146939,-16.318964162749005,24.603923112776943,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
7,2020-01-29,1.4850904728103718,-19.649490986745047,21.166533445830844,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
8,2020-01-30,-2.9600200150091807,-22.51801568262259,17.072791602451037,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
9,2020-01-31,0.9677594053771574,-18.653133952359937,22.015683421742114,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
10,2020-02-01,-1.1415387001976205,-22.60831662014215,18.024879381599817,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
11,2020-02-02,-1.935096627612441,-21.36734021423165,17.54868918132525,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
12,2020-02-03,-0.2770184181761203,-20.161431068450643,20.33036980893376,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
13,2020-02-04,4.951526208342478,-14.397436817036684,24.783564010752063,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
14,2020-02-05,1.6639154759246746,-17.37756511809411,23.170410671708606,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
15,2020-02-06,-2.75188006832615,-24.086961740300776,18.88275968653365,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
16,2020-02-07,1.210018455518421,-17.87407508162344,19.745895729402463,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
17,2020-02-08,-0.8595695963433303,-19.490454279584004,20.84754801151236,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
18,2020-02-09,-1.6069110589538564,-22.18172771079096,18.230697679606553,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
19,2020-02-10,0.10495513478455742,-20.50789412961124,19.335529035783747,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
20,2020-02-11,5.3960983949156445,-14.923714096384376,25.80343112586038,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
21,2020-02-12,2.1813384089497507,-18.381635436442785,22.670619477488945,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
22,2020-02-13,-2.1496776028691453,-21.83683834882084,18.721810093374742,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
23,2020-02-14,1.9108792820714675,-19.508432343364806,21.627609016719465,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
24,2020-02-15,-0.043903894862821646,-19.622521261878795,19.399667973400422,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
25,2020-02-16,-0.6576573040554272,-20.307759856071165,19.126495612633512,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
26,2020-02-17,1.2096452564819307,-19.848614133173264,20.43358586246936,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
27,2020-02-18,6.6816356901696645,-12.398016516554732,25.68403426067675,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
28,2020-02-19,3.677273237407066,-16.502610948464675,23.679030696965267,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
29,2020-02-20,-0.40898615245312,-20.51176399670936,18.97263963997735,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
30,2020-02-21,3.9362706880866387,-16.365739042154804,24.28312580203758,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
31,2020-02-22,2.312613146141911,-18.015297347882946,22.630215699914164,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
32,2020-02-23,2.083932576490667,-17.549943835896347,22.52987639045131,0.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
33,2020-02-24,4.39897792935521,-16.724584570407142,24.777439227067187,1.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
34,2020-02-25,10.39149077245536,-10.459289651609785,32.07517637434257,1.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
35,2020-02-26,7.9921391343494665,-12.143146501304134,29.203181230319778,5.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
36,2020-02-27,4.608928589952986,-15.6094017885057,25.316033325965098,7.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
37,2020-02-28,9.770937008943784,-11.314823160490093,29.43710975806493,7.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
38,2020-02-29,9.095823228219878,-11.547904309927679,27.645081506190287,13.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
39,2020-03-01,9.968340475337286,-9.98219727124133,28.506830875805875,19.0,2020-04-17,72.75772043705881,True,87,1634.0320796916205
