,ds,yhat,yhat_lower,yhat_upper,y,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,-350.8912884521686,-2524.586088331861,1751.0179640711094,0.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
1,2020-01-23,-326.59270992421875,-2400.4372235872243,1839.0891281837398,0.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
2,2020-01-24,123.2205959324387,-2051.1273647961284,2190.2244001861322,0.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
3,2020-01-25,592.6614653447278,-1595.6067750500654,2816.5936447156096,0.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
4,2020-01-26,532.1020836779062,-1582.6441710471427,2708.9298502445126,0.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
5,2020-01-27,-99.09409479610812,-2358.5986778262886,1929.2445110731,0.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
6,2020-01-28,-389.4225583011695,-2552.8852045463373,1660.458944258161,0.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
7,2020-01-29,-336.95046527365133,-2433.792451280482,1726.577662435581,0.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
8,2020-01-30,-310.2815948529576,-2487.364602043497,2030.9524682260057,0.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
9,2020-01-31,142.30491450826082,-1811.6411487958503,2188.6207040247473,2.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
10,2020-02-01,614.9903514545321,-1422.9891603344324,2720.122843778669,2.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
11,2020-02-02,558.2269701144753,-1614.7491256134206,2710.300145844688,2.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
12,2020-02-03,-68.5281237270926,-2208.3237847114806,2188.1294707010484,2.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
13,2020-02-04,-353.66088662979246,-2486.3062408197047,1843.235878292236,2.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
14,2020-02-05,-295.11038165189416,-2356.4143171025407,1818.6247281302174,2.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
15,2020-02-06,-261.33059524301166,-2385.3284357601783,1947.0154432317013,2.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
16,2020-02-07,199.57448209163107,-2044.4305802367262,2343.2929325547243,3.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
17,2020-02-08,681.9909104445019,-1575.290182243209,2749.845630982739,3.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
18,2020-02-09,636.6103169452937,-1563.9239915451042,2864.6920183201187,3.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
19,2020-02-10,23.169584574444684,-2221.687068430332,2121.1938603587128,3.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
20,2020-02-11,-246.39030242200903,-2270.117189792788,1854.8879130184541,3.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
21,2020-02-12,-169.6264347990696,-2384.8484466336604,1940.2276970849834,3.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
22,2020-02-13,-114.54664535006034,-2234.9777067362156,2103.64397818431,3.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
23,2020-02-14,371.26603974975535,-1920.597039479239,2418.2915064144127,3.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
24,2020-02-15,882.8057880596251,-1264.4413891844583,3048.730584410397,3.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
25,2020-02-16,871.4737644827796,-1257.6729451764577,3070.73066459975,3.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
26,2020-02-17,297.8343425494732,-1823.4210974867958,2437.2332644724406,3.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
27,2020-02-18,74.79301726949137,-2052.7391328382564,2101.035662308877,3.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
28,2020-02-19,205.9161783525189,-2028.3876629099982,2382.096627006517,3.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
29,2020-02-20,324.5036349550663,-1879.088516144303,2415.513041271268,3.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
30,2020-02-21,884.4929739500476,-1275.37863762166,3053.6621723725466,20.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
31,2020-02-22,1482.6447519528256,-692.9463081186523,3760.1379799358556,62.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
32,2020-02-23,1572.40945791581,-597.559111386113,3700.8004445926085,155.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
33,2020-02-24,1116.72554642066,-1171.1008774760135,3304.096741370064,229.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
34,2020-02-25,1031.2440499965992,-1065.9107123505441,3363.3977967554465,322.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
35,2020-02-26,1322.6999853702728,-818.1805161714456,3547.0134537833333,453.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
36,2020-02-27,1628.0412551443517,-711.7074852512751,3668.950496087227,655.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
37,2020-02-28,2405.3935718875373,279.4680879659241,4503.202741624662,888.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
38,2020-02-29,3256.309326222847,1067.172492970649,5538.045956644616,1128.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
39,2020-03-01,3639.6995262169885,1420.73624276378,5651.299854238741,1694.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
40,2020-03-02,3524.6953041185043,1300.3402798218003,5689.203768280665,2036.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
41,2020-03-03,3833.9303723141593,1705.5502858310526,5996.617488267546,2502.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
42,2020-03-04,4581.9588003566505,2400.508959714912,6760.497428777342,3089.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
43,2020-03-05,5414.4108020274025,3232.449824387183,7542.801017463465,3858.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
44,2020-03-06,6798.954388087688,4701.82125291588,9015.426073390336,4636.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
45,2020-03-07,8347.496999057868,6253.154840152474,10508.073516747654,5883.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
46,2020-03-08,9530.008925111371,7360.907245891179,11709.069026734056,7375.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
47,2020-03-09,10327.19403760689,8182.378448175188,12410.265233374812,9172.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
48,2020-03-10,11673.474899029781,9610.98768580794,13916.471074837878,10149.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
49,2020-03-11,13594.980003708173,11599.488565092928,15793.154879518514,12462.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
50,2020-03-12,15748.109035688885,13618.277940069695,17844.322171983276,12462.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
51,2020-03-13,18609.7206114367,16498.548019058995,20748.836426238366,17660.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
52,2020-03-14,21798.36206246502,19642.307449041473,24014.056458801766,21157.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
53,2020-03-15,24786.924716899553,22604.89353932881,26819.09450879942,24747.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
54,2020-03-16,27553.977152873536,25287.1896387009,29707.271586275852,27980.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
55,2020-03-17,31025.305570522247,28943.544149124147,33206.012643201306,31506.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
56,2020-03-18,35210.454937567956,32980.07897544129,37360.68696940511,35713.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
57,2020-03-19,39739.998445462676,37592.4137920054,41811.194823889076,41035.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
58,2020-03-20,45054.792244830205,42999.13744040488,47144.43792842721,47021.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
59,2020-03-21,50726.839786010496,48479.09889281257,52998.46959264677,53578.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
60,2020-03-22,56172.360988320295,53952.21734072828,58271.885300343805,59138.0,2020-04-12,65.1088428690462,True,82,157166.18579729387
