,ds,yhat,yhat_lower,yhat_upper,y,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,-2.437866164365613,-164.1844476791052,147.93745794244646,0.0,2020-08-17,156.4810736231087,True,209,6805.907400762342
1,2020-01-23,1.1571043824105216,-154.2203423869286,150.3925148091879,0.0,2020-08-17,156.4810736231087,True,209,6805.907400762342
2,2020-01-24,4.958950439966694,-146.7002317821265,157.39436124922867,0.0,2020-08-17,156.4810736231087,True,209,6805.907400762342
3,2020-01-25,4.660455186378983,-145.4130978637958,161.84104899143293,0.0,2020-08-17,156.4810736231087,True,209,6805.907400762342
4,2020-01-26,-0.3330418440845305,-152.0557750710142,166.14235921667503,0.0,2020-08-17,156.4810736231087,True,209,6805.907400762342
5,2020-01-27,-5.014852350470644,-154.58407794027215,147.0454253541527,0.0,2020-08-17,156.4810736231087,True,209,6805.907400762342
6,2020-01-28,-2.878162684276308,-151.62722714803763,152.07860177088543,0.0,2020-08-17,156.4810736231087,True,209,6805.907400762342
7,2020-01-29,-2.4278459050587258,-143.6293328570279,164.74486493596885,0.0,2020-08-17,156.4810736231087,True,209,6805.907400762342
8,2020-01-30,1.1680164455030335,-154.29617771385338,155.53988259837965,0.0,2020-08-17,156.4810736231087,True,209,6805.907400762342
9,2020-01-31,4.970833676953825,-140.0991931010692,159.282116621065,0.0,2020-08-17,156.4810736231087,True,209,6805.907400762342
10,2020-02-01,4.6733960312132705,-156.5513090520741,167.5899410578499,0.0,2020-08-17,156.4810736231087,True,209,6805.907400762342
11,2020-02-02,-0.31894926500947945,-157.80476691443553,154.43729366079825,0.0,2020-08-17,156.4810736231087,True,209,6805.907400762342
12,2020-02-03,-4.9995055336781276,-157.64826616275786,157.13907724630923,0.0,2020-08-17,156.4810736231087,True,209,6805.907400762342
13,2020-02-04,-2.86145000372589,-146.26117855807564,153.6551708098957,0.0,2020-08-17,156.4810736231087,True,209,6805.907400762342
14,2020-02-05,-2.4096458002475973,-158.7085691306148,149.78454347136193,0.0,2020-08-17,156.4810736231087,True,209,6805.907400762342
15,2020-02-06,1.187836352051637,-157.05749851949915,147.2354801382542,0.0,2020-08-17,156.4810736231087,True,209,6805.907400762342
16,2020-02-07,4.992417545379186,-148.57605901991184,161.7756137921445,0.0,2020-08-17,156.4810736231087,True,209,6805.907400762342
17,2020-02-08,4.696900851352174,-149.46441749387247,164.36695283541732,0.0,2020-08-17,156.4810736231087,True,209,6805.907400762342
18,2020-02-09,-0.2933525317795919,-148.51036286749203,161.21661838215067,0.0,2020-08-17,156.4810736231087,True,209,6805.907400762342
19,2020-02-10,-4.971630711139288,-163.77889006911693,155.55809663055484,0.0,2020-08-17,156.4810736231087,True,209,6805.907400762342
20,2020-02-11,-2.831094346836323,-152.51102874925326,153.08418964410166,0.0,2020-08-17,156.4810736231087,True,209,6805.907400762342
