,ds,yhat,yhat_lower,yhat_upper,y,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,1.1916288280965488,-2.007137949789642,4.343288293127643,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
1,2020-01-23,1.3582278883268235,-1.8234320089836018,4.472352183358579,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
2,2020-01-24,1.3580522696262196,-1.5683453710089559,4.478982976898129,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
3,2020-01-25,1.6914248728239052,-1.2829414172527471,4.672202284649105,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
4,2020-01-26,1.8580220724081324,-1.2082913939021283,4.891488671763491,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
5,2020-01-27,1.185834472785077,-2.018751243904836,4.110023154509392,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
6,2020-01-28,1.276649210292114,-1.7098996361921857,4.587173048662786,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
7,2020-01-29,1.1669252897904119,-1.7773578277171989,4.11465750588482,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
8,2020-01-30,1.3335742213417865,-1.6686469386779068,4.387440732393012,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
9,2020-01-31,1.33344843129644,-1.847781290492905,4.300692281342619,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
10,2020-02-01,1.6668708202167448,-1.2874471545734243,4.597242791676494,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
11,2020-02-02,1.8335177623016135,-1.1632489230796454,4.871566782819728,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
12,2020-02-03,1.16137986172196,-1.9926270824931254,4.089762196735757,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
13,2020-02-04,1.2522442545231631,-1.8104080355704852,4.50953310441142,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
14,2020-02-05,1.1425699453866998,-1.9524570488649196,4.0652307274507775,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
15,2020-02-06,1.3092684440667208,-1.6759359834205259,4.185681751864882,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
16,2020-02-07,1.3091921766691093,-1.7917485711771601,4.415743981651853,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
17,2020-02-08,1.642664043490361,-1.5337224256693147,4.734190533748707,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
18,2020-02-09,1.8093604185054935,-1.3405684283260186,4.728928690327798,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
19,2020-02-10,1.1372719056140237,-1.8648245738272873,4.0134100935298385,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
20,2020-02-11,1.228185640604728,-1.4418944890885796,3.945456633297651,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
21,2020-02-12,1.1185606278523372,-1.867975800031763,4.1325107919769195,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
22,2020-02-13,1.2853083769259186,-1.673220495312956,4.498556437962426,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
23,2020-02-14,1.28528131367202,-1.7447164434763613,4.476489125155769,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
24,2020-02-15,1.6188023381496952,-1.3694982108219367,4.566322340306157,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
25,2020-02-16,1.7855478240997484,-1.1698023526301806,4.871743218486014,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
26,2020-02-17,1.113508375178212,-1.9687388071291951,3.9981185153559315,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
27,2020-02-18,1.2044711269202069,-1.9342338688893836,4.228627808181065,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
28,2020-02-19,1.0948950834968563,-1.8369589807523161,4.160920811138807,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
29,2020-02-20,1.2616917542429966,-1.6617811834537008,4.323124277225281,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
30,2020-02-21,1.2617135647632738,-1.7862537495344286,4.268065742171937,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
31,2020-02-22,1.5952834148910064,-1.4826579797755615,4.565038695812613,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
32,2020-02-23,1.7620776781729663,-1.3887884208687769,4.900228638055104,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
33,2020-02-24,1.090086957991241,-1.8059245673541857,3.97517550920536,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
34,2020-02-25,1.1810983896686336,-1.8435140977935958,4.097077754462546,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
35,2020-02-26,1.0715709771393702,-2.1086571698720413,3.9160134064030405,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
36,2020-02-27,1.2384162295044068,-1.8444124510977653,4.208654101369062,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
37,2020-02-28,1.2384865721621228,-1.7863665501555723,4.228381799072443,0.0,2020-04-12,71.1972444919752,True,82,8.864427268767361
