,ds,yhat,yhat_lower,yhat_upper,y,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,1.5987266334057209,-43.37275862813251,47.25855677511053,0.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
1,2020-01-23,11.542817969366991,-34.41771670788018,58.662854306993154,1.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
2,2020-01-24,16.46021359489519,-29.571920300085385,59.8081918017887,3.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
3,2020-01-25,6.67638414814631,-39.01023175375427,49.02872023033163,3.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
4,2020-01-26,6.543437651112368,-39.913184720875215,53.53666674101139,4.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
5,2020-01-27,0.1815045817884684,-47.97855021119874,47.55396159660164,5.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
6,2020-01-28,-1.5423432848751792,-45.49147945930896,44.23019008987268,7.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
7,2020-01-29,4.9014716128487885,-39.920473509676654,48.78123802315711,7.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
8,2020-01-30,15.10865385331103,-30.41394732832798,59.86175985989806,10.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
9,2020-01-31,20.310097024809707,-26.628103195528947,66.10365985669085,13.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
10,2020-02-01,10.832940958074076,-35.47503267025461,56.59233801730987,16.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
11,2020-02-02,11.031095798859074,-31.40583448949032,53.756385953071835,18.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
12,2020-02-03,5.0266376630241325,-43.13079006894476,52.71707267398486,18.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
13,2020-02-04,3.688738902579283,-42.78487931394388,48.569374199674165,24.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
14,2020-02-05,10.549244929697192,-34.678438511951626,55.246820106331256,28.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
15,2020-02-06,21.206308761504033,-25.22861072628476,66.65509523602577,28.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
16,2020-02-07,26.893467387833606,-19.28574664685948,71.22572251101562,30.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
17,2020-02-08,17.940714520443763,-30.644201733921214,64.96923553598319,33.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
18,2020-02-09,18.70504141729707,-30.835155402302302,64.27933800862911,40.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
19,2020-02-10,13.311850620447716,-31.721864343834383,63.72444583672947,45.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
20,2020-02-11,12.633905742272933,-30.059799629750078,59.01305132058514,47.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
21,2020-02-12,20.206929361495966,-28.68873328162597,61.920452801504915,50.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
22,2020-02-13,31.633260314233524,-16.213319064850882,78.4827764140787,58.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
23,2020-02-14,38.150954615031026,-11.15118668321362,84.57818717289196,67.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
24,2020-02-15,30.094884710133506,-16.05310080799951,77.36539626977662,72.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
25,2020-02-16,31.82730890983135,-17.888633308612413,77.83369113982704,75.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
26,2020-02-17,27.47931600632376,-15.537193721275587,72.9543656926854,77.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
27,2020-02-18,27.929808390536316,-19.371195735337416,74.9739945939378,81.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
28,2020-02-19,36.72113592375939,-7.654567724834507,80.97126959713322,84.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
29,2020-02-20,49.46279205752374,3.053256923322298,98.06024538499975,84.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
30,2020-02-21,57.40055666337221,14.584272727163336,102.72140701257844,85.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
31,2020-02-22,50.877640515793,2.346874037012747,96.57577115148426,85.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
32,2020-02-23,54.2653035384621,8.094109036686035,100.71038047156443,89.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
33,2020-02-24,51.70435210243079,7.262994900731328,98.7329803228184,89.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
34,2020-02-25,54.08417899373373,7.211320170809837,100.80088797429215,91.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
35,2020-02-26,64.95845863320172,18.91513777450648,107.76629289409968,93.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
36,2020-02-27,79.94890939722953,31.724654263327356,126.34036654791656,93.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
37,2020-02-28,90.31450788052237,39.91123641260541,135.83260976155833,93.0,2020-04-10,149.9611139095411,False,80,427067.0192340092
