,ds,yhat,yhat_lower,yhat_upper,y,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,42.443992122594125,-2498.7949285865293,2576.3618233925895,0.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
1,2020-01-23,365.01459413410834,-2011.5448266729063,2794.7197975862646,0.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
2,2020-01-24,175.65934145861834,-2353.8218857525494,2582.4883399048676,0.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
3,2020-01-25,208.93406015052574,-2326.147102771424,2504.5012799331016,0.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
4,2020-01-26,-143.45929487312858,-2534.7984549443167,2461.43852762612,0.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
5,2020-01-27,-192.2464166356268,-2729.467587555821,2337.270578789799,0.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
6,2020-01-28,-443.16186180344175,-2895.4102015727203,2112.1818263676228,0.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
7,2020-01-29,44.96371932527476,-2274.4048659406685,2458.342633262412,0.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
8,2020-01-30,368.0158691175243,-2127.0443515401803,2761.2322938386305,0.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
9,2020-01-31,179.23419017438607,-2309.2129169789996,2525.915588102734,0.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
10,2020-02-01,213.19209379877435,-2366.88618026591,2603.2797631939184,1.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
11,2020-02-02,-138.38752002960697,-2525.091446395396,2243.183899617836,1.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
12,2020-02-03,-186.2053977707543,-2709.859175126992,2334.549857783797,1.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
13,2020-02-04,-435.96638388226756,-2837.0013967045325,1819.5050802838655,1.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
14,2020-02-05,53.53425913411914,-2244.327767011864,2570.862535454285,1.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
15,2020-02-06,378.224220498098,-1868.6948068825648,2824.015991695597,1.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
16,2020-02-07,191.39329876551483,-2155.6815048795092,2789.545270308721,1.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
17,2020-02-08,227.67468615412105,-2490.864553044209,2757.793745930234,1.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
18,2020-02-09,-121.13752312044042,-2575.9657655984524,2422.129605289793,2.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
19,2020-02-10,-165.65929162157687,-2697.1492284369306,2262.9933698192476,2.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
20,2020-02-11,-411.49450005337746,-2682.8748657894894,2062.072687299602,2.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
21,2020-02-12,82.68181500239533,-2282.402064418844,2490.3312890353404,2.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
22,2020-02-13,412.9404980596501,-1993.5698245239273,2984.558212110116,2.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
23,2020-02-14,232.74179455389742,-2258.5374855839373,2709.255980347765,2.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
24,2020-02-15,276.92182267020917,-2092.705271265922,2684.8910858989,2.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
25,2020-02-16,-62.483751221621404,-2614.1418500723257,2303.970959524426,2.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
26,2020-02-17,-95.80334243223605,-2525.6982958168346,2218.161964828076,2.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
27,2020-02-18,-328.2986035275892,-2915.0132196865775,1894.936089313924,2.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
28,2020-02-19,181.7626737782885,-2055.293564215039,2783.095324447013,2.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
29,2020-02-20,530.9358589964731,-1819.5373081062658,3160.9132990148833,2.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
30,2020-02-21,373.25754208330716,-2286.4829726863168,2706.489695576931,2.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
31,2020-02-22,444.24922752008706,-1988.6278998393054,2944.0923912341236,2.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
32,2020-02-23,136.76138769914158,-2140.305153652791,2568.054186740332,2.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
33,2020-02-24,141.43391358582826,-2293.17937657408,2440.6859653952793,2.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
34,2020-02-25,-45.84462966285139,-2435.8275808097105,2568.5548059880343,6.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
35,2020-02-26,518.0235527856713,-1921.5999327102556,3012.310596650376,13.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
36,2020-02-27,931.2140957354613,-1540.5820266520984,3551.823175084306,15.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
37,2020-02-28,849.6845916586449,-1515.4684976429462,3223.8012253368406,32.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
38,2020-02-29,1011.2320689220917,-1518.5125489685076,3317.952200903742,45.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
39,2020-03-01,811.3995928992451,-1694.798918455663,3186.392570467241,84.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
40,2020-03-02,944.0090889267083,-1493.5510966080224,3446.590015868313,120.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
41,2020-03-03,908.7038154027048,-1523.548371004285,3269.029254774654,165.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
42,2020-03-04,1653.0038621989372,-1072.2625302308759,4123.370889210817,222.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
43,2020-03-05,2280.2820174679173,-168.0260289026177,4854.768063983101,259.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
44,2020-03-06,2452.5875281471017,-22.238378544602842,4848.940458459812,400.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
45,2020-03-07,2914.8348460894026,375.80553200274335,5365.170612840856,500.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
46,2020-03-08,3070.851081124981,449.0843984255198,5567.3337837806985,673.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
47,2020-03-09,3624.055332746765,1231.0833136950255,5915.042412467065,1073.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
48,2020-03-10,4085.1467096322,1556.7771995459748,6665.841474351817,1695.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
49,2020-03-11,5414.294064676363,3032.975132231805,7760.43130805646,2277.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
50,2020-03-12,6729.219428517371,4437.414620911828,9059.883331467463,2277.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
51,2020-03-13,7708.0807852538965,5205.429475478255,9898.80709123062,5232.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
52,2020-03-14,9113.641229720359,6753.78489338917,11574.633826814692,6391.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
53,2020-03-15,10369.178433512967,8000.700230547706,12751.784333374357,7798.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
54,2020-03-16,12198.856939513193,9604.205106950161,14506.703692832685,9942.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
55,2020-03-17,14134.878583430193,11599.52897954214,16460.059440897334,11748.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
56,2020-03-18,17158.833763057577,14928.658188912177,19814.226607985453,13910.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
57,2020-03-19,20408.57188225134,18006.84778483084,22734.93260655627,17963.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
58,2020-03-20,23579.429956706426,21242.225268133596,25975.912256706823,20410.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
59,2020-03-21,27446.26348485231,24976.61503115373,29937.431618218317,25374.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
60,2020-03-22,31436.738094007404,29016.468850556244,33848.601055607374,28768.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
61,2020-03-23,36268.68640812502,33948.5311721868,38625.10216368893,35136.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
62,2020-03-24,41454.036447365026,38989.65670437118,43970.21960113607,39885.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
63,2020-03-25,47936.94760306841,45354.40529444719,50493.32839755451,49515.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
64,2020-03-26,54798.48027435364,52338.54945246403,57197.63235631563,57786.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
65,2020-03-27,61656.112595931525,59212.13765024635,64107.250039330596,65719.0,2020-04-16,70.48889626000928,True,86,190592.87611706727
