,ds,yhat,yhat_lower,yhat_upper,y,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,11.876351781042583,-219.32422183551202,258.45281204080715,2.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
1,2020-01-23,14.46504426497771,-234.0306237657347,280.9372310049391,3.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
2,2020-01-24,6.45154232526,-243.29672570151706,251.6918322106132,5.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
3,2020-01-25,7.691722228368998,-242.1534278815838,248.90117784037153,7.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
4,2020-01-26,12.728408192563304,-242.73377337506503,251.26632883200742,8.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
5,2020-01-27,15.732935124797011,-229.28154783433277,263.6310905131722,8.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
6,2020-01-28,17.05480462590775,-231.6873367655551,265.1983873571097,14.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
7,2020-01-29,19.13882745784573,-232.20258588561643,274.71305579509067,14.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
8,2020-01-30,22.33802795749214,-232.0989961689072,263.7578190458721,14.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
9,2020-01-31,14.98586601001448,-231.03316308460768,268.7247658329529,19.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
10,2020-02-01,16.945776483022872,-240.16692178001162,248.90265406885862,19.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
11,2020-02-02,22.762212012254086,-223.3243397148409,256.21919854802184,19.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
12,2020-02-03,26.61139318971022,-222.2754146717339,274.3943096530116,19.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
13,2020-02-04,28.84808397949945,-213.5706901042744,271.70431341598805,25.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
14,2020-02-05,31.922759488571884,-221.92296305877989,262.9851443314823,25.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
15,2020-02-06,36.194536698280245,-223.84763468051167,280.0378531463321,25.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
16,2020-02-07,30.00342367026778,-214.39424045384052,281.96234489508544,25.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
17,2020-02-08,33.21647478781977,-210.8108480712607,282.79205429376185,32.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
18,2020-02-09,40.388527647415636,-230.26791826775641,270.235858735086,32.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
19,2020-02-10,45.70381726908993,-205.03644919062808,289.8915045898028,32.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
20,2020-02-11,49.52568473201022,-217.31592112003923,290.0736806637367,33.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
21,2020-02-12,54.31377301203367,-190.36169311294202,304.28716505159827,33.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
22,2020-02-13,60.43698499161636,-172.0430321222056,283.6074258801325,33.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
23,2020-02-14,56.24575861064534,-190.82659156355726,291.5511146950811,33.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
24,2020-02-15,61.618246065280765,-178.51808553912915,337.29976083901136,33.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
25,2020-02-16,71.12107189105153,-196.64768886142448,327.48802582181605,34.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
26,2020-02-17,78.95096468416668,-171.87161839036162,324.7932110525695,35.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
27,2020-02-18,85.48448515939906,-171.24521926401425,322.4225216670396,35.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
28,2020-02-19,93.1952097728826,-134.52991888537167,352.69491902530655,35.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
29,2020-02-20,102.46670601997829,-143.63158602392065,357.3376745040529,35.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
30,2020-02-21,101.66479204940933,-152.09140959987369,333.3279954477806,35.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
31,2020-02-22,110.68369505380913,-137.71114864563793,359.2146716211375,35.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
32,2020-02-23,124.1067754411869,-112.93095238041991,370.19496411700226,35.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
33,2020-02-24,136.14810917620724,-110.78859941464324,395.50707986961436,35.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
34,2020-02-25,147.2021416994431,-115.26665913216951,399.2086996448653,37.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
35,2020-02-26,159.76080210347592,-85.14392324008898,405.96522880779355,40.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
36,2020-02-27,174.2263479586859,-68.1148092628129,422.6314831402106,40.0,2020-10-15,71.82863209762874,True,268,3278.627289834589
