,ds,yhat,yhat_lower,yhat_upper,y,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,20900.376855285267,-45813.01997058282,89041.80884377196,0.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
1,2020-01-23,22164.807690848047,-48601.32250027654,86325.58192217702,0.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
2,2020-01-24,17412.607227607445,-53786.54607849057,80168.4063258717,0.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
3,2020-01-25,18567.33676987634,-48924.31579716404,94364.51483649282,0.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
4,2020-01-26,19889.16076275868,-42991.10937703747,84697.87872337385,0.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
5,2020-01-27,21189.99149700343,-46121.802515794356,89525.00323762235,0.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
6,2020-01-28,22801.348392482418,-45215.79506110182,85690.2791955009,0.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
7,2020-01-29,24045.82646004843,-43131.948792293864,90699.95059566456,0.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
8,2020-01-30,25376.026354481754,-50099.443800243316,92266.32697891767,0.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
9,2020-01-31,20690.81684515554,-44822.11756774298,88707.37017471643,2.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
10,2020-02-01,21913.77513446322,-47097.205240185445,88428.85356800632,2.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
11,2020-02-02,23305.0814568446,-47269.89027840036,92824.79279465803,2.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
12,2020-02-03,24676.663764581404,-43550.78033039894,98105.18296384513,8.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
13,2020-02-04,26360.05699202748,-42770.49972906871,95104.73484984424,8.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
14,2020-02-05,27677.871497174743,-35611.91558702032,99591.95815938333,9.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
15,2020-02-06,29082.723093532866,-35772.52183239137,104087.2428422244,9.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
16,2020-02-07,24473.495498766795,-41678.35449253648,93513.07457178406,9.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
17,2020-02-08,25773.780630486046,-39714.63972815823,94505.88226298771,13.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
18,2020-02-09,27243.773181000543,-38250.845865365896,91828.85157995546,14.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
19,2020-02-10,28695.415278991157,-42093.678567866045,102047.68651432625,14.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
20,2020-02-11,30460.255727894706,-33108.56076217974,96573.89289410674,15.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
21,2020-02-12,31860.918421023478,-36777.2314419211,95591.21400468165,16.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
22,2020-02-13,33350.03234587788,-32532.45819823148,101197.28090582277,17.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
23,2020-02-14,28826.494004473385,-37884.21611747485,96939.26293558121,18.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
24,2020-02-15,30213.907679664586,-33713.94414301002,95662.33631584673,18.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
25,2020-02-16,31772.479979610285,-33926.209450956594,103109.20164698776,18.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
26,2020-02-17,33314.16446802299,-35734.50054272764,101953.14186306563,19.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
27,2020-02-18,35170.52087090884,-32302.65456656465,106738.38299142878,19.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
28,2020-02-19,36664.18345675158,-33421.291769160795,103594.76635143366,20.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
29,2020-02-20,38247.79100823081,-29906.866716505683,104707.03093535246,22.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
30,2020-02-21,33820.24920679992,-35786.262397697785,100290.25725473354,23.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
31,2020-02-22,35305.170862875326,-35941.94153097582,102700.65666623606,23.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
32,2020-02-23,36962.77042323366,-26378.439899888654,106301.63224708631,28.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
33,2020-02-24,38605.0085631638,-26334.028116597994,104485.44479445076,30.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
34,2020-02-25,40563.451353842225,-29495.893330919476,100702.66722900174,34.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
35,2020-02-26,42160.73860367969,-21538.899268139336,106818.2392186433,37.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
36,2020-02-27,43849.513789395125,-25947.25249784517,112250.76273191746,44.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
37,2020-02-28,39528.68639795525,-29729.536927550125,113353.53830170212,56.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
38,2020-02-29,41121.87211502819,-25906.18672152507,105000.64994926189,61.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
39,2020-03-01,42889.287289134685,-26791.035973593807,107992.3122972809,94.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
40,2020-03-02,44642.893480090126,-21414.0694041888,120027.21069243301,134.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
41,2020-03-03,46714.25658167815,-21178.811482661597,117656.47248840675,189.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
42,2020-03-04,48426.01511845246,-17492.172550139345,117102.03820560986,245.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
43,2020-03-05,50230.8101294085,-17311.919960958166,117724.19663074217,294.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
44,2020-03-06,46027.40805696832,-18929.293643232817,113741.20519937942,373.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
45,2020-03-07,47739.55409792467,-18381.33763897031,117862.81480890361,428.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
46,2020-03-08,49627.45833449798,-17465.327870245375,117844.33813277328,482.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
47,2020-03-09,51503.07472059011,-19377.532392295623,116380.85053395429,629.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
48,2020-03-10,53697.96015685628,-12081.359827803584,120043.89823589651,887.0,2020-10-15,146.57376466691588,True,268,448505.2248386673
