,ds,yhat,yhat_lower,yhat_upper,y,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,52883.15452757518,-179926.40376801268,252011.99289397002,1.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
1,2020-01-23,64350.71001874061,-146558.91667427155,291984.4812877535,1.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
2,2020-01-24,52387.62027548499,-172189.29913470807,267053.08310045867,2.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
3,2020-01-25,57008.746373157956,-143182.7579801656,283488.5865721556,2.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
4,2020-01-26,57139.32017580672,-152034.59954401167,269777.92710158846,5.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
5,2020-01-27,57637.62066364636,-148521.82588116315,289903.41773319535,5.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
6,2020-01-28,61047.866146837,-164064.2693132549,287247.56127271935,5.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
7,2020-01-29,64744.271314437094,-160174.82709110802,284339.9952980143,6.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
8,2020-01-30,76558.69423658036,-166522.1937175525,274632.7641468892,6.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
9,2020-01-31,64952.454212039826,-149749.09894737054,290998.42590572056,8.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
10,2020-02-01,69940.68994116408,-140721.04200264526,283760.7008344482,8.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
11,2020-02-02,70448.91805100962,-154730.68963698592,300891.948539558,8.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
12,2020-02-03,71335.70957773492,-136069.7983279902,289689.58792744816,11.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
13,2020-02-04,75145.58232757646,-140777.01813074283,304307.9526004015,11.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
14,2020-02-05,79253.05807578842,-150748.85329232152,301901.9447470607,11.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
15,2020-02-06,91490.30971922468,-115658.60681495268,318880.11937291856,12.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
16,2020-02-07,80318.97927464874,-129815.051911879,315631.91944673844,12.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
17,2020-02-08,85754.53620016217,-121860.33638631432,304007.919622137,12.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
18,2020-02-09,86722.83608066199,-120305.70263053961,310136.9136092607,12.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
19,2020-02-10,88082.79724480175,-114550.33679330509,325588.28549523494,12.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
20,2020-02-11,92379.29328640096,-126204.04072304005,308778.0593662264,13.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
21,2020-02-12,96987.21040905362,-111788.61732331249,311848.9856593518,13.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
22,2020-02-13,109739.09472556446,-105849.10767773436,337529.0230972711,14.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
23,2020-02-14,99096.97040207913,-119622.53095646632,309712.1019220934,14.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
24,2020-02-15,105076.69812275517,-96510.54955836793,307951.91544806113,14.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
25,2020-02-16,106604.53391328626,-113680.43709952521,316979.92683237104,14.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
26,2020-02-17,108539.8059051889,-109252.26881624306,318128.9781251636,14.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
27,2020-02-18,113427.80696940987,-99130.86746810583,332234.2915987349,14.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
28,2020-02-19,118643.8522360175,-92910.8148296209,340554.6300107067,14.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
29,2020-02-20,132020.9264806417,-93639.8233834265,356787.9703754013,14.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
30,2020-02-21,122021.50240394133,-99841.79525605083,332575.7218577918,16.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
31,2020-02-22,128661.89921332193,-84117.17229617479,337398.5538078147,16.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
32,2020-02-23,130868.84155752811,-83749.5538541944,335630.261650443,16.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
33,2020-02-24,133502.1363952296,-76809.68105108295,352405.50990690815,16.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
34,2020-02-25,139107.5657401362,-80562.37144510867,352409.9768610555,16.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
35,2020-02-26,145060.94422860045,-74836.75221557799,356141.24727170327,16.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
36,2020-02-27,159195.76662734564,-60885.99581028087,370538.29326821456,17.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
37,2020-02-28,149975.02617046004,-73528.74341532975,379646.64596529375,17.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
38,2020-02-29,157415.57320199892,-49201.48597711207,369795.53283294005,25.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
39,2020-03-01,160444.67415990017,-57050.09486506633,382396.5630128722,32.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
40,2020-03-02,163922.68848218062,-49516.35545314805,381627.8375814628,55.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
41,2020-03-03,170395.9613757986,-51879.239342269175,386007.0912536708,74.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
42,2020-03-04,177240.8813945404,-39173.52290313482,399610.8884553302,107.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
43,2020-03-05,192291.52794105271,-24557.15215515418,396865.98517417343,184.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
44,2020-03-06,184011.4895886145,-25695.63086531547,405687.9234715134,237.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
45,2020-03-07,192418.2226653303,-20398.165269935864,411695.78879824834,403.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
46,2020-03-08,196439.61019831343,-18743.578552604515,402673.1760689518,519.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
47,2020-03-09,200936.63873520188,-18303.01644551521,390105.33890941547,594.0,2020-10-15,192.81059655856131,True,268,7966091.96309171
