,ds,yhat,yhat_lower,yhat_upper,y,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,-0.02134626167708184,-0.2155011155064836,0.162930624419843,0.0,2020-04-11,93.4008143293826,False,81,0.002498799358142154
1,2020-01-23,-0.02134505554882729,-0.21892186156903534,0.19065798787814525,0.0,2020-04-11,93.4008143293826,False,81,0.002498799358142154
2,2020-01-24,0.062188622936865216,-0.13081116560411082,0.2701392940546741,0.0,2020-04-11,93.4008143293826,False,81,0.002498799358142154
3,2020-01-25,0.06218984936397866,-0.11865136433355152,0.24918652035977604,0.0,2020-04-11,93.4008143293826,False,81,0.002498799358142154
4,2020-01-26,-0.023244831186242765,-0.20315054998758034,0.17573788196833046,0.0,2020-04-11,93.4008143293826,False,81,0.002498799358142154
5,2020-01-27,-0.023243735319027452,-0.2100517753158346,0.16678689924827533,0.0,2020-04-11,93.4008143293826,False,81,0.002498799358142154
6,2020-01-28,-0.023242632188100548,-0.21605623629377793,0.15915580535826757,0.0,2020-04-11,93.4008143293826,False,81,0.002498799358142154
7,2020-01-29,-0.021295252058316092,-0.2015785110870901,0.18160604599781366,0.0,2020-04-11,93.4008143293826,False,81,0.002498799358142154
8,2020-01-30,-0.021294302301786316,-0.21513671969147424,0.17701545740629512,0.0,2020-04-11,93.4008143293826,False,81,0.002498799358142154
9,2020-01-31,0.06223911714023566,-0.12414216789147886,0.27965997434518125,0.0,2020-04-11,93.4008143293826,False,81,0.002498799358142154
10,2020-02-01,0.062240081926793686,-0.14054659193293004,0.24097626268590686,0.0,2020-04-11,93.4008143293826,False,81,0.002498799358142154
11,2020-02-02,-0.02319486278712405,-0.21478061391901285,0.1619202143918165,0.0,2020-04-11,93.4008143293826,False,81,0.002498799358142154
12,2020-02-03,-0.023194033532213852,-0.21167689888184965,0.16734868881522136,0.0,2020-04-11,93.4008143293826,False,81,0.002498799358142154
13,2020-02-04,-0.0231931993876102,-0.21286769689660506,0.17798006335215957,0.0,2020-04-11,93.4008143293826,False,81,0.002498799358142154
14,2020-02-05,-0.021246090543828644,-0.2267826168828834,0.1687427096204056,0.0,2020-04-11,93.4008143293826,False,81,0.002498799358142154
