,Report_Date,Dominican Republic_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,202.9614122507189,73879.34950768498,True,1,631.2137475814438,144547.49086159826
1,2020-01-23,0,202.9614122507189,73879.34950768498,True,2,648.4079249768578,144547.49086159826
2,2020-01-24,0,202.9614122507189,73879.34950768498,True,3,666.0683490782261,144547.49086159826
3,2020-01-25,0,202.9614122507189,73879.34950768498,True,4,684.2075458310742,144547.49086159826
4,2020-01-26,0,202.9614122507189,73879.34950768498,True,5,702.8383712360577,144547.49086159826
5,2020-01-27,0,202.9614122507189,73879.34950768498,True,6,721.9740196885098,144547.49086159826
6,2020-01-28,0,202.9614122507189,73879.34950768498,True,7,741.6280325087755,144547.49086159826
7,2020-01-29,0,202.9614122507189,73879.34950768498,True,8,761.8143066665534,144547.49086159826
8,2020-01-30,0,202.9614122507189,73879.34950768498,True,9,782.5471037024535,144547.49086159826
9,2020-01-31,0,202.9614122507189,73879.34950768498,True,10,803.8410588499568,144547.49086159826
10,2020-02-01,0,202.9614122507189,73879.34950768498,True,11,825.7111903609331,144547.49086159826
11,2020-02-02,0,202.9614122507189,73879.34950768498,True,12,848.1729090378415,144547.49086159826
12,2020-02-03,0,202.9614122507189,73879.34950768498,True,13,871.242027975692,144547.49086159826
13,2020-02-04,0,202.9614122507189,73879.34950768498,True,14,894.9347725168045,144547.49086159826
14,2020-02-05,0,202.9614122507189,73879.34950768498,True,15,919.2677904213369,144547.49086159826
15,2020-02-06,0,202.9614122507189,73879.34950768498,True,16,944.2581622564945,144547.49086159826
16,2020-02-07,0,202.9614122507189,73879.34950768498,True,17,969.9234120072557,144547.49086159826
17,2020-02-08,0,202.9614122507189,73879.34950768498,True,18,996.2815179113641,144547.49086159826
18,2020-02-09,0,202.9614122507189,73879.34950768498,True,19,1023.3509235212464,144547.49086159826
19,2020-02-10,0,202.9614122507189,73879.34950768498,True,20,1051.150548995407,144547.49086159826
20,2020-02-11,0,202.9614122507189,73879.34950768498,True,21,1079.6998026217316,144547.49086159826
21,2020-02-12,0,202.9614122507189,73879.34950768498,True,22,1109.0185925750116,144547.49086159826
22,2020-02-13,0,202.9614122507189,73879.34950768498,True,23,1139.1273389108492,144547.49086159826
23,2020-02-14,0,202.9614122507189,73879.34950768498,True,24,1170.0469857979558,144547.49086159826
24,2020-02-15,0,202.9614122507189,73879.34950768498,True,25,1201.7990139906767,144547.49086159826
25,2020-02-16,0,202.9614122507189,73879.34950768498,True,26,1234.4054535434045,144547.49086159826
26,2020-02-17,0,202.9614122507189,73879.34950768498,True,27,1267.8888967683226,144547.49086159826
27,2020-02-18,0,202.9614122507189,73879.34950768498,True,28,1302.2725114377236,144547.49086159826
28,2020-02-19,0,202.9614122507189,73879.34950768498,True,29,1337.5800542318864,144547.49086159826
29,2020-02-20,0,202.9614122507189,73879.34950768498,True,30,1373.8358844332638,144547.49086159826
30,2020-02-21,0,202.9614122507189,73879.34950768498,True,31,1411.0649778674383,144547.49086159826
31,2020-02-22,0,202.9614122507189,73879.34950768498,True,32,1449.292941091016,144547.49086159826
32,2020-02-23,0,202.9614122507189,73879.34950768498,True,33,1488.546025826308,144547.49086159826
33,2020-02-24,0,202.9614122507189,73879.34950768498,True,34,1528.8511436423034,144547.49086159826
34,2020-02-25,0,202.9614122507189,73879.34950768498,True,35,1570.235880881072,144547.49086159826
35,2020-02-26,0,202.9614122507189,73879.34950768498,True,36,1612.7285138283437,144547.49086159826
