,Report_Date,Egypt_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,148.45192989316305,49880.91572685157,True,1,10.401777842749118,98535.7917661659
1,2020-01-23,0,148.45192989316305,49880.91572685157,True,2,11.069010572252832,98535.7917661659
2,2020-01-24,0,148.45192989316305,49880.91572685157,True,3,11.779038576867425,98535.7917661659
3,2020-01-25,0,148.45192989316305,49880.91572685157,True,4,12.53460601016189,98535.7917661659
4,2020-01-26,0,148.45192989316305,49880.91572685157,True,5,13.33863289996036,98535.7917661659
5,2020-01-27,0,148.45192989316305,49880.91572685157,True,6,14.194226408484917,98535.7917661659
6,2020-01-28,0,148.45192989316305,49880.91572685157,True,7,15.104692811862252,98535.7917661659
7,2020-01-29,0,148.45192989316305,49880.91572685157,True,8,16.073550244745437,98535.7917661659
8,2020-01-30,0,148.45192989316305,49880.91572685157,True,9,17.104542258684656,98535.7917661659
9,2020-01-31,0,148.45192989316305,49880.91572685157,True,10,18.20165224594104,98535.7917661659
10,2020-02-01,0,148.45192989316305,49880.91572685157,True,11,19.369118783686694,98535.7917661659
11,2020-02-02,0,148.45192989316305,49880.91572685157,True,12,20.61145195698238,98535.7917661659
12,2020-02-03,0,148.45192989316305,49880.91572685157,True,13,21.933450722583913,98535.7917661659
13,2020-02-04,0,148.45192989316305,49880.91572685157,True,14,23.34022137951125,98535.7917661659
14,2020-02-05,0,148.45192989316305,49880.91572685157,True,15,24.8371972164332,98535.7917661659
15,2020-02-06,0,148.45192989316305,49880.91572685157,True,16,26.43015941028966,98535.7917661659
16,2020-02-07,0,148.45192989316305,49880.91572685157,True,17,28.125259255205542,98535.7917661659
17,2020-02-08,0,148.45192989316305,49880.91572685157,True,18,29.92904180566161,98535.7917661659
18,2020-02-09,0,148.45192989316305,49880.91572685157,True,19,31.8484710230922,98535.7917661659
19,2020-02-10,0,148.45192989316305,49880.91572685157,True,20,33.89095652059454,98535.7917661659
20,2020-02-11,0,148.45192989316305,49880.91572685157,True,21,36.064382006275956,98535.7917661659
21,2020-02-12,0,148.45192989316305,49880.91572685157,True,22,38.37713553195047,98535.7917661659
22,2020-02-13,0,148.45192989316305,49880.91572685157,True,23,40.83814166044416,98535.7917661659
23,2020-02-14,1,148.45192989316305,49880.91572685157,True,24,43.45689567169698,98535.7917661659
24,2020-02-15,1,148.45192989316305,49880.91572685157,True,25,46.24349993517718,98535.7917661659
25,2020-02-16,1,148.45192989316305,49880.91572685157,True,26,49.208702583872764,98535.7917661659
26,2020-02-17,1,148.45192989316305,49880.91572685157,True,27,52.36393863331333,98535.7917661659
27,2020-02-18,1,148.45192989316305,49880.91572685157,True,28,55.721373697725106,98535.7917661659
28,2020-02-19,1,148.45192989316305,49880.91572685157,True,29,59.293950464554115,98535.7917661659
29,2020-02-20,1,148.45192989316305,49880.91572685157,True,30,63.09543809822802,98535.7917661659
30,2020-02-21,1,148.45192989316305,49880.91572685157,True,31,67.14048475418821,98535.7917661659
31,2020-02-22,1,148.45192989316305,49880.91572685157,True,32,71.44467339493146,98535.7917661659
32,2020-02-23,1,148.45192989316305,49880.91572685157,True,33,76.02458111107633,98535.7917661659
33,2020-02-24,1,148.45192989316305,49880.91572685157,True,34,80.89784216233552,98535.7917661659
34,2020-02-25,1,148.45192989316305,49880.91572685157,True,35,86.08321496574865,98535.7917661659
35,2020-02-26,1,148.45192989316305,49880.91572685157,True,36,91.60065327163626,98535.7917661659
36,2020-02-27,1,148.45192989316305,49880.91572685157,True,37,97.47138178148423,98535.7917661659
37,2020-02-28,1,148.45192989316305,49880.91572685157,True,38,103.71797647638398,98535.7917661659
38,2020-02-29,1,148.45192989316305,49880.91572685157,True,39,110.36444993974634,98535.7917661659
