,Report_Date,Germany_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,721.7841886168698,346527454.89835346,False,1,7041.910658582475,693054909.7967073
1,2020-01-23,0,721.7841886168698,346527454.89835346,False,2,7155.133121818464,693054909.7967073
2,2020-01-24,0,721.7841886168698,346527454.89835346,False,3,7270.17599890605,693054909.7967073
3,2020-01-25,0,721.7841886168698,346527454.89835346,False,4,7387.068558211322,693054909.7967073
4,2020-01-26,0,721.7841886168698,346527454.89835346,False,5,7505.840538653115,693054909.7967073
5,2020-01-27,1,721.7841886168698,346527454.89835346,False,6,7626.522157267511,693054909.7967073
6,2020-01-28,4,721.7841886168698,346527454.89835346,False,7,7749.144116893937,693054909.7967073
7,2020-01-29,4,721.7841886168698,346527454.89835346,False,8,7873.737613984797,693054909.7967073
8,2020-01-30,4,721.7841886168698,346527454.89835346,False,9,8000.334346540625,693054909.7967073
9,2020-01-31,5,721.7841886168698,346527454.89835346,False,10,8128.966522172784,693054909.7967073
10,2020-02-01,8,721.7841886168698,346527454.89835346,False,11,8259.666866295744,693054909.7967073
11,2020-02-02,10,721.7841886168698,346527454.89835346,False,12,8392.468630451041,693054909.7967073
12,2020-02-03,12,721.7841886168698,346527454.89835346,False,13,8527.405600765022,693054909.7967073
13,2020-02-04,12,721.7841886168698,346527454.89835346,False,14,8664.512106542501,693054909.7967073
14,2020-02-05,12,721.7841886168698,346527454.89835346,False,15,8803.82302899859,693054909.7967073
15,2020-02-06,12,721.7841886168698,346527454.89835346,False,16,8945.373810130799,693054909.7967073
16,2020-02-07,13,721.7841886168698,346527454.89835346,False,17,9089.200461733793,693054909.7967073
17,2020-02-08,13,721.7841886168698,346527454.89835346,False,18,9235.339574558982,693054909.7967073
18,2020-02-09,14,721.7841886168698,346527454.89835346,False,19,9383.828327621362,693054909.7967073
19,2020-02-10,14,721.7841886168698,346527454.89835346,False,20,9534.704497655915,693054909.7967073
20,2020-02-11,16,721.7841886168698,346527454.89835346,False,21,9688.006468725976,693054909.7967073
21,2020-02-12,16,721.7841886168698,346527454.89835346,False,22,9843.773241986057,693054909.7967073
22,2020-02-13,16,721.7841886168698,346527454.89835346,False,23,10002.04444560153,693054909.7967073
23,2020-02-14,16,721.7841886168698,346527454.89835346,False,24,10162.860344827774,693054909.7967073
24,2020-02-15,16,721.7841886168698,346527454.89835346,False,25,10326.261852251266,693054909.7967073
25,2020-02-16,16,721.7841886168698,346527454.89835346,False,26,10492.290538195299,693054909.7967073
26,2020-02-17,16,721.7841886168698,346527454.89835346,False,27,10660.98864129288,693054909.7967073
27,2020-02-18,16,721.7841886168698,346527454.89835346,False,28,10832.399079229599,693054909.7967073
28,2020-02-19,16,721.7841886168698,346527454.89835346,False,29,11006.565459659083,693054909.7967073
29,2020-02-20,16,721.7841886168698,346527454.89835346,False,30,11183.532091293931,693054909.7967073
30,2020-02-21,16,721.7841886168698,346527454.89835346,False,31,11363.343995174826,693054909.7967073
31,2020-02-22,16,721.7841886168698,346527454.89835346,False,32,11546.046916120791,693054909.7967073
32,2020-02-23,16,721.7841886168698,346527454.89835346,False,33,11731.687334363423,693054909.7967073
33,2020-02-24,16,721.7841886168698,346527454.89835346,False,34,11920.312477368097,693054909.7967073
34,2020-02-25,17,721.7841886168698,346527454.89835346,False,35,12111.970331845156,693054909.7967073
35,2020-02-26,27,721.7841886168698,346527454.89835346,False,36,12306.709655954075,693054909.7967073
36,2020-02-27,46,721.7841886168698,346527454.89835346,False,37,12504.579991703784,693054909.7967073
37,2020-02-28,48,721.7841886168698,346527454.89835346,False,38,12705.63167755224,693054909.7967073
38,2020-02-29,79,721.7841886168698,346527454.89835346,False,39,12909.915861208454,693054909.7967073
39,2020-03-01,130,721.7841886168698,346527454.89835346,False,40,13117.484512640262,693054909.7967073
40,2020-03-02,159,721.7841886168698,346527454.89835346,False,41,13328.39043729109,693054909.7967073
41,2020-03-03,196,721.7841886168698,346527454.89835346,False,42,13542.687289509118,693054909.7967073
42,2020-03-04,262,721.7841886168698,346527454.89835346,False,43,13760.429586192236,693054909.7967073
43,2020-03-05,482,721.7841886168698,346527454.89835346,False,44,13981.67272065223,693054909.7967073
44,2020-03-06,670,721.7841886168698,346527454.89835346,False,45,14206.472976701765,693054909.7967073
45,2020-03-07,799,721.7841886168698,346527454.89835346,False,46,14434.88754296772,693054909.7967073
46,2020-03-08,1040,721.7841886168698,346527454.89835346,False,47,14666.974527434497,693054909.7967073
47,2020-03-09,1176,721.7841886168698,346527454.89835346,False,48,14902.792972221025,693054909.7967073
48,2020-03-10,1457,721.7841886168698,346527454.89835346,False,49,15142.402868595189,693054909.7967073
49,2020-03-11,1908,721.7841886168698,346527454.89835346,False,50,15385.865172229509,693054909.7967073
50,2020-03-12,2078,721.7841886168698,346527454.89835346,False,51,15633.241818701934,693054909.7967073
51,2020-03-13,3675,721.7841886168698,346527454.89835346,False,52,15884.595739245677,693054909.7967073
52,2020-03-14,4585,721.7841886168698,346527454.89835346,False,53,16139.990876752141,693054909.7967073
53,2020-03-15,5795,721.7841886168698,346527454.89835346,False,54,16399.49220203093,693054909.7967073
54,2020-03-16,7272,721.7841886168698,346527454.89835346,False,55,16663.165730331104,693054909.7967073
55,2020-03-17,9257,721.7841886168698,346527454.89835346,False,56,16931.078538127873,693054909.7967073
56,2020-03-18,12327,721.7841886168698,346527454.89835346,False,57,17203.298780179026,693054909.7967073
57,2020-03-19,15320,721.7841886168698,346527454.89835346,False,58,17479.895706855328,693054909.7967073
58,2020-03-20,19848,721.7841886168698,346527454.89835346,False,59,17760.93968174939,693054909.7967073
59,2020-03-21,22213,721.7841886168698,346527454.89835346,False,60,18046.502199567436,693054909.7967073
60,2020-03-22,24873,721.7841886168698,346527454.89835346,False,61,18336.655904308478,693054909.7967073
61,2020-03-23,29056,721.7841886168698,346527454.89835346,False,62,18631.474607735574,693054909.7967073
62,2020-03-24,32986,721.7841886168698,346527454.89835346,False,63,18931.033308143808,693054909.7967073
63,2020-03-25,37323,721.7841886168698,346527454.89835346,False,64,19235.408209429806,693054909.7967073
64,2020-03-26,43938,721.7841886168698,346527454.89835346,False,65,19544.67674046754,693054909.7967073
65,2020-03-27,50871,721.7841886168698,346527454.89835346,False,66,19858.91757479544,693054909.7967073
66,2020-03-28,57695,721.7841886168698,346527454.89835346,False,67,20178.210650619752,693054909.7967073
67,2020-03-29,62095,721.7841886168698,346527454.89835346,False,68,20502.637191139213,693054909.7967073
68,2020-03-30,66885,721.7841886168698,346527454.89835346,False,69,20832.279725196233,693054909.7967073
69,2020-03-31,71808,721.7841886168698,346527454.89835346,False,70,21167.222108259797,693054909.7967073
70,2020-04-01,77872,721.7841886168698,346527454.89835346,False,71,21507.54954374541,693054909.7967073
71,2020-04-02,84794,721.7841886168698,346527454.89835346,False,72,21853.348604677507,693054909.7967073
