,Report_Date,Portugal_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,75.32418269395039,11301.396520135195,True,1,0.2633521042507635,20715.900891551853
1,2020-01-23,0,75.32418269395039,11301.396520135195,True,2,0.3068426336450016,20715.900891551853
2,2020-01-24,0,75.32418269395039,11301.396520135195,True,3,0.35751516841856973,20715.900891551853
3,2020-01-25,0,75.32418269395039,11301.396520135195,True,4,0.41655570091130095,20715.900891551853
4,2020-01-26,0,75.32418269395039,11301.396520135195,True,5,0.4853460564439423,20715.900891551853
5,2020-01-27,0,75.32418269395039,11301.396520135195,True,6,0.5654962243850492,20715.900891551853
6,2020-01-28,0,75.32418269395039,11301.396520135195,True,7,0.6588820250620593,20715.900891551853
7,2020-01-29,0,75.32418269395039,11301.396520135195,True,8,0.7676889924679272,20715.900891551853
8,2020-01-30,0,75.32418269395039,11301.396520135195,True,9,0.894463497592885,20715.900891551853
9,2020-01-31,0,75.32418269395039,11301.396520135195,True,10,1.0421723058573182,20715.900891551853
10,2020-02-01,0,75.32418269395039,11301.396520135195,True,11,1.2142719584053716,20715.900891551853
11,2020-02-02,0,75.32418269395039,11301.396520135195,True,12,1.4147895954273695,20715.900891551853
12,2020-02-03,0,75.32418269395039,11301.396520135195,True,13,1.648417105414122,20715.900891551853
13,2020-02-04,0,75.32418269395039,11301.396520135195,True,14,1.9206207933311876,20715.900891551853
14,2020-02-05,0,75.32418269395039,11301.396520135195,True,15,2.237769120104388,20715.900891551853
15,2020-02-06,0,75.32418269395039,11301.396520135195,True,16,2.607281483580069,20715.900891551853
16,2020-02-07,0,75.32418269395039,11301.396520135195,True,17,3.0378014965528277,20715.900891551853
17,2020-02-08,0,75.32418269395039,11301.396520135195,True,18,3.5393987812363035,20715.900891551853
18,2020-02-09,0,75.32418269395039,11301.396520135195,True,19,4.123803953982547,20715.900891551853
19,2020-02-10,0,75.32418269395039,11301.396520135195,True,20,4.804682233225951,20715.900891551853
20,2020-02-11,0,75.32418269395039,11301.396520135195,True,21,5.597951983647873,20715.900891551853
21,2020-02-12,0,75.32418269395039,11301.396520135195,True,22,6.522155528775055,20715.900891551853
22,2020-02-13,0,75.32418269395039,11301.396520135195,True,23,7.598890743443947,20715.900891551853
23,2020-02-14,0,75.32418269395039,11301.396520135195,True,24,8.853313300250857,20715.900891551853
24,2020-02-15,0,75.32418269395039,11301.396520135195,True,25,10.31472101655945,20715.900891551853
25,2020-02-16,0,75.32418269395039,11301.396520135195,True,26,12.01723356007371,20715.900891551853
26,2020-02-17,0,75.32418269395039,11301.396520135195,True,27,14.000582853539594,20715.900891551853
27,2020-02-18,0,75.32418269395039,11301.396520135195,True,28,16.31103190766826,20715.900891551853
28,2020-02-19,0,75.32418269395039,11301.396520135195,True,29,19.002442543006374,20715.900891551853
29,2020-02-20,0,75.32418269395039,11301.396520135195,True,30,22.137515574776902,20715.900891551853
30,2020-02-21,0,75.32418269395039,11301.396520135195,True,31,25.789230568289526,20715.900891551853
31,2020-02-22,0,75.32418269395039,11301.396520135195,True,32,30.042516262869793,20715.900891551853
32,2020-02-23,0,75.32418269395039,11301.396520135195,True,33,34.99618724051327,20715.900891551853
33,2020-02-24,0,75.32418269395039,11301.396520135195,True,34,40.76518740266231,20715.900891551853
34,2020-02-25,0,75.32418269395039,11301.396520135195,True,35,47.483186318767864,20715.900891551853
35,2020-02-26,0,75.32418269395039,11301.396520135195,True,36,55.30558050135412,20715.900891551853
36,2020-02-27,0,75.32418269395039,11301.396520135195,True,37,64.41295808222003,20715.900891551853
37,2020-02-28,0,75.32418269395039,11301.396520135195,True,38,75.01509209351755,20715.900891551853
38,2020-02-29,0,75.32418269395039,11301.396520135195,True,39,87.35553439383426,20715.900891551853
39,2020-03-01,0,75.32418269395039,11301.396520135195,True,40,101.7168889062035,20715.900891551853
40,2020-03-02,2,75.32418269395039,11301.396520135195,True,41,118.42684877707529,20715.900891551853
41,2020-03-03,2,75.32418269395039,11301.396520135195,True,42,137.8650866330833,20715.900891551853
42,2020-03-04,5,75.32418269395039,11301.396520135195,True,43,160.47108932946665,20715.900891551853
43,2020-03-05,8,75.32418269395039,11301.396520135195,True,44,186.753027095912,20715.900891551853
44,2020-03-06,13,75.32418269395039,11301.396520135195,True,45,217.29773994803492,20715.900891551853
45,2020-03-07,20,75.32418269395039,11301.396520135195,True,46,252.78190917744402,20715.900891551853
46,2020-03-08,30,75.32418269395039,11301.396520135195,True,47,293.9844554145728,20715.900891551853
47,2020-03-09,30,75.32418269395039,11301.396520135195,True,48,341.8001629876196,20715.900891551853
48,2020-03-10,41,75.32418269395039,11301.396520135195,True,49,397.2544677865054,20715.900891551853
49,2020-03-11,59,75.32418269395039,11301.396520135195,True,50,461.51925606536133,20715.900891551853
50,2020-03-12,59,75.32418269395039,11301.396520135195,True,51,535.929396805866,20715.900891551853
51,2020-03-13,112,75.32418269395039,11301.396520135195,True,52,621.9995615302184,20715.900891551853
52,2020-03-14,169,75.32418269395039,11301.396520135195,True,53,721.4406632512412,20715.900891551853
53,2020-03-15,245,75.32418269395039,11301.396520135195,True,54,836.1749613166587,20715.900891551853
54,2020-03-16,331,75.32418269395039,11301.396520135195,True,55,968.3485239448682,20715.900891551853
55,2020-03-17,448,75.32418269395039,11301.396520135195,True,56,1120.3393126288195,20715.900891551853
56,2020-03-18,448,75.32418269395039,11301.396520135195,True,57,1294.758658390826,20715.900891551853
57,2020-03-19,785,75.32418269395039,11301.396520135195,True,58,1494.4433595532942,20715.900891551853
58,2020-03-20,1020,75.32418269395039,11301.396520135195,True,59,1722.4350863066788,20715.900891551853
59,2020-03-21,1280,75.32418269395039,11301.396520135195,True,60,1981.9433009523473,20715.900891551853
60,2020-03-22,1600,75.32418269395039,11301.396520135195,True,61,2276.287604457666,20715.900891551853
61,2020-03-23,2060,75.32418269395039,11301.396520135195,True,62,2608.815453443111,20715.900891551853
62,2020-03-24,2362,75.32418269395039,11301.396520135195,True,63,2982.791751780198,20715.900891551853
63,2020-03-25,2995,75.32418269395039,11301.396520135195,True,64,3401.2581282359106,20715.900891551853
64,2020-03-26,3544,75.32418269395039,11301.396520135195,True,65,3866.861976475972,20715.900891551853
65,2020-03-27,4268,75.32418269395039,11301.396520135195,True,66,4381.658694573242,20715.900891551853
66,2020-03-28,5170,75.32418269395039,11301.396520135195,True,67,4946.894996682946,20715.900891551853
67,2020-03-29,5962,75.32418269395039,11301.396520135195,True,68,5562.786397554594,20715.900891551853
68,2020-03-30,6408,75.32418269395039,11301.396520135195,True,69,6228.307361621557,20715.900891551853
69,2020-03-31,7443,75.32418269395039,11301.396520135195,True,70,6941.017160834539,20715.900891551853
70,2020-04-01,8251,75.32418269395039,11301.396520135195,True,71,7696.946915832655,20715.900891551853
71,2020-04-02,9034,75.32418269395039,11301.396520135195,True,72,8490.572283855217,20715.900891551853
72,2020-04-03,9886,75.32418269395039,11301.396520135195,True,73,9314.890838285744,20715.900891551853
73,2020-04-04,10524,75.32418269395039,11301.396520135195,True,74,10161.613194230149,20715.900891551853
74,2020-04-05,11278,75.32418269395039,11301.396520135195,True,75,11021.463347619318,20715.900891551853
75,2020-04-06,11730,75.32418269395039,11301.396520135195,True,76,11884.568667772213,20715.900891551853
76,2020-04-07,12442,75.32418269395039,11301.396520135195,True,77,12740.906470064678,20715.900891551853
77,2020-04-08,13141,75.32418269395039,11301.396520135195,True,78,13580.765090876492,20715.900891551853
78,2020-04-09,13956,75.32418269395039,11301.396520135195,True,79,14395.17502397786,20715.900891551853
79,2020-04-10,15472,75.32418269395039,11301.396520135195,True,80,15176.270531495888,20715.900891551853
80,2020-04-11,15987,75.32418269395039,11301.396520135195,True,81,15917.553038261962,20715.900891551853
