,Report_Date,S. Korea_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,1,42.983370128898265,4908.85522199817,True,1,1.8314597127653407,9817.518642763678
1,2020-01-23,1,42.983370128898265,4908.85522199817,True,2,2.24699966162498,9817.518642763678
2,2020-01-24,2,42.983370128898265,4908.85522199817,True,3,2.7567950027611037,9817.518642763678
3,2020-01-25,2,42.983370128898265,4908.85522199817,True,4,3.382211961893819,9817.518642763678
4,2020-01-26,3,42.983370128898265,4908.85522199817,True,5,4.149453397640614,9817.518642763678
5,2020-01-27,4,42.983370128898265,4908.85522199817,True,6,5.090650248429851,9817.518642763678
6,2020-01-28,4,42.983370128898265,4908.85522199817,True,7,6.245197554080715,9817.518642763678
7,2020-01-29,4,42.983370128898265,4908.85522199817,True,8,7.661388985133595,9817.518642763678
8,2020-01-30,4,42.983370128898265,4908.85522199817,True,9,9.398415263595748,9817.518642763678
9,2020-01-31,11,42.983370128898265,4908.85522199817,True,10,11.52880551334172,9817.518642763678
10,2020-02-01,12,42.983370128898265,4908.85522199817,True,11,14.141406741235198,9817.518642763678
11,2020-02-02,15,42.983370128898265,4908.85522199817,True,12,17.34501559836488,9817.518642763678
12,2020-02-03,15,42.983370128898265,4908.85522199817,True,13,21.2727985026362,9817.518642763678
13,2020-02-04,16,42.983370128898265,4908.85522199817,True,14,26.087661152843257,9817.518642763678
14,2020-02-05,19,42.983370128898265,4908.85522199817,True,15,31.988756164323785,9817.518642763678
15,2020-02-06,23,42.983370128898265,4908.85522199817,True,16,39.219347233904784,9817.518642763678
16,2020-02-07,24,42.983370128898265,4908.85522199817,True,17,48.0762783022338,9817.518642763678
17,2020-02-08,24,42.983370128898265,4908.85522199817,True,18,58.92132374521494,9817.518642763678
18,2020-02-09,25,42.983370128898265,4908.85522199817,True,19,72.19471586006155,9817.518642763678
19,2020-02-10,27,42.983370128898265,4908.85522199817,True,20,88.43115108797153,9817.518642763678
20,2020-02-11,28,42.983370128898265,4908.85522199817,True,21,108.2785546307516,9817.518642763678
21,2020-02-12,28,42.983370128898265,4908.85522199817,True,22,132.51981661900393,9817.518642763678
22,2020-02-13,28,42.983370128898265,4908.85522199817,True,23,162.0975761192272,9817.518642763678
23,2020-02-14,28,42.983370128898265,4908.85522199817,True,24,198.14188620393907,9817.518642763678
24,2020-02-15,28,42.983370128898265,4908.85522199817,True,25,242.0001960541452,9817.518642763678
25,2020-02-16,29,42.983370128898265,4908.85522199817,True,26,295.2684737139979,9817.518642763678
26,2020-02-17,30,42.983370128898265,4908.85522199817,True,27,359.8213943647151,9817.518642763678
27,2020-02-18,31,42.983370128898265,4908.85522199817,True,28,437.838261167771,9817.518642763678
28,2020-02-19,31,42.983370128898265,4908.85522199817,True,29,531.8196555457555,9817.518642763678
29,2020-02-20,104,42.983370128898265,4908.85522199817,True,30,644.5877364654154,9817.518642763678
30,2020-02-21,204,42.983370128898265,4908.85522199817,True,31,779.2607523743546,9817.518642763678
31,2020-02-22,433,42.983370128898265,4908.85522199817,True,32,939.1900400162011,9817.518642763678
32,2020-02-23,602,42.983370128898265,4908.85522199817,True,33,1127.8462348827552,9817.518642763678
33,2020-02-24,833,42.983370128898265,4908.85522199817,True,34,1348.6417025565759,9817.518642763678
34,2020-02-25,977,42.983370128898265,4908.85522199817,True,35,1604.679822217355,9817.518642763678
35,2020-02-26,1261,42.983370128898265,4908.85522199817,True,36,1898.430377389712,9817.518642763678
36,2020-02-27,1766,42.983370128898265,4908.85522199817,True,37,2231.3451212036844,9817.518642763678
37,2020-02-28,2337,42.983370128898265,4908.85522199817,True,38,2603.4482095181397,9817.518642763678
38,2020-02-29,3150,42.983370128898265,4908.85522199817,True,39,3012.959410531074,9817.518642763678
39,2020-03-01,3736,42.983370128898265,4908.85522199817,True,40,3456.026957850384,9817.518642763678
40,2020-03-02,4335,42.983370128898265,4908.85522199817,True,41,3926.6520226232924,9817.518642763678
41,2020-03-03,5186,42.983370128898265,4908.85522199817,True,42,4416.8691015330105,9817.518642763678
